onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.516	0.85	0.5	71.0	stop_signal	71.0	0.849	False	stop_failure	s061
5.77	0.85	0.45	89.0	stop_signal	89.0	0.78	False	go	s061
8.431	0.85	0.45	89.0	stop_signal	89.0	0.678	False	go	s061
11.093	0.85	0.45	89.0	stop_signal	89.0	0.716	False	go	s061
13.346	0.85	0.45	71.0	stop_signal	71.0	0.914	False	go	s061
15.599	0.85	0.45	71.0	stop_signal	71.0	0.795	False	go	s061
17.988	0.85	0.45	71.0	stop_signal	71.0	0.745	False	stop_failure	s061
20.785	0.85	0.4	71.0	stop_signal	71.0	0.764	False	stop_failure	s061
23.175	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
25.428	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
27.681	0.85	0.45	89.0	stop_signal	89.0	0.662	False	stop_failure	s061
29.935	0.85	0.4	89.0	stop_signal	89.0	0.749	False	go	s061
32.596	0.85	0.4	71.0	stop_signal	71.0	0.799	False	go	s061
35.258	0.85	0.4	89.0	stop_signal	89.0	0.674	False	go	s061
37.51	0.85	0.4	89.0	stop_signal	89.0	0.614	False	go	s061
40.035	0.85	0.4	71.0	stop_signal	71.0	0.777	False	go	s061
42.29	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
44.814	0.85	0.45	71.0	stop_signal	71.0	0.992	False	go	s061
47.34	0.85	0.45	71.0	stop_signal	71.0	0.651	False	stop_failure	s061
49.865	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
52.255	0.85	0.45	71.0	stop_signal	71.0	0.848	False	stop_failure	s061
54.782	0.85	0.4	71.0	stop_signal	71.0	0.845	False	go	s061
57.307	0.85	0.4	89.0	stop_signal	89.0	0.554	False	go	s061
59.696	0.85	0.4	71.0	stop_signal	71.0	0.831	False	go	s061
61.949	0.85	0.4	71.0	stop_signal	71.0	0.875	False	go	s061
64.475	0.85	0.4	71.0	stop_signal	71.0	0.728	False	go	s061
67.274	0.85	0.4	71.0	stop_signal	71.0	0.723	False	stop_failure	s061
69.8	0.85	0.35	89.0	stop_signal	89.0	0.853	False	stop_failure	s061
72.196	0.85	0.3	89.0	stop_signal	89.0	0.564	False	go	s061
74.449	0.85	0.3	89.0	stop_signal	89.0	0.848	False	stop_failure	s061
76.701	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
78.954	0.85	0.3	89.0	stop_signal	89.0	0.681	False	stop_failure	s061
81.206	0.85	0.25	71.0	stop_signal	71.0	0.821	False	go	s061
83.732	0.85	0.25	71.0	stop_signal	71.0	0.719	False	go	s061
85.985	0.85	0.25	89.0	stop_signal	89.0	0.638	False	stop_failure	s061
88.237	0.85	0.2	89.0	stop_signal	89.0	0.588	False	go	s061
90.491	0.85	0.2	89.0	stop_signal	89.0	0.553	False	go	s061
92.746	0.85	0.2	71.0	stop_signal	71.0	0.73	False	go	s061
95.136	0.85	0.2	89.0	stop_signal	71.0	0.792	False	go	s061
97.39	0.85	0.2	71.0	stop_signal	71.0	1.438	False	stop_failure	s061
99.643	0.85	0.15	71.0	stop_signal	71.0	0.82	False	go	s061
112.906	0.85	0.15	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
115.159	0.85	0.2	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
117.685	0.85	0.25	71.0	stop_signal	71.0	0.978	False	go	s061
120.074	0.85	0.25	89.0	stop_signal	89.0	0.704	False	go	s061
122.598	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
124.851	0.85	0.3	89.0	stop_signal	89.0	0.805	False	go	s061
127.239	0.85	0.3	89.0	stop_signal	89.0	0.629	False	go	s061
129.627	0.85	0.3	89.0	stop_signal	89.0	0.609	False	go	s061
131.881	0.85	0.3	71.0	stop_signal	71.0	0.932	False	go	s061
134.27	0.85	0.3	71.0	stop_signal	71.0	0.73	False	go	s061
136.658	0.85	0.3	89.0	stop_signal	89.0	0.645	False	stop_failure	s061
139.047	0.85	0.25	89.0	stop_signal	89.0	0.571	False	go	s061
141.708	0.85	0.25	71.0	stop_signal	71.0	0.732	False	go	s061
144.234	0.85	0.25	89.0	stop_signal	89.0	0.634	False	stop_failure	s061
146.489	0.85	0.2	89.0	stop_signal	89.0	0.743	False	stop_failure	s061
149.42	0.85	0.15	89.0	stop_signal	89.0	0.782	False	go	s061
151.674	0.85	0.15	71.0	stop_signal	71.0	0.727	False	go	s061
154.199	0.85	0.15	89.0	stop_signal	89.0	0.614	False	stop_failure	s061
156.451	0.85	0.1	71.0	stop_signal	71.0	0.812	False	go	s061
158.705	0.85	0.1	89.0	stop_signal	89.0	0.69	False	go	s061
160.958	0.85	0.1	71.0	stop_signal	71.0	0.809	False	go	s061
163.21	0.85	0.1	89.0	stop_signal	89.0	0.589	False	go	s061
165.735	0.85	0.1	89.0	stop_signal	71.0	0.654	False	stop_failure	s061
168.806	0.85	0.05	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
171.06	0.85	0.1	89.0	stop_signal	71.0	0.738	False	go	s061
173.449	0.85	0.1	89.0	stop_signal	89.0	1.13	False	stop_failure	s061
175.838	0.85	0.05	89.0	stop_signal	89.0	0.76	False	go	s061
178.363	0.85	0.05	89.0	stop_signal	89.0	0.636	False	go	s061
180.752	0.85	0.05	89.0	stop_signal	89.0	0.605	False	go	s061
183.142	0.85	0.05	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
185.939	0.85	0.1	89.0	stop_signal	89.0	0.621	False	go	s061
188.33	0.85	0.1	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
190.583	0.85	0.15	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
193.108	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
195.496	0.85	0.25	71.0	stop_signal	71.0	0.759	False	go	s061
197.884	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
200.136	0.85	0.3	89.0	stop_signal	89.0	0.594	False	go	s061
202.525	0.85	0.3	89.0	stop_signal	89.0	0.696	False	go	s061
204.778	0.85	0.3	89.0	stop_signal	89.0	0.55	False	stop_failure	s061
207.032	0.85	0.25	71.0	stop_signal	71.0	0.799	False	go	s061
209.285	0.85	0.25	89.0	stop_signal	89.0	0.655	False	go	s061
211.673	0.85	0.25	89.0	stop_signal	89.0	0.562	False	stop_failure	s061
224.938	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
227.19	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
229.581	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
231.97	0.85	0.35	71.0	stop_signal	71.0	0.807	False	go	s061
234.222	0.85	0.35	89.0	stop_signal	89.0	0.583	False	stop_failure	s061
236.748	0.85	0.3	89.0	stop_signal	89.0	0.619	False	go	s061
239.001	0.85	0.3	71.0	stop_signal	71.0	0.775	False	go	s061
241.391	0.85	0.3	89.0	stop_signal	89.0	0.508	False	go	s061
243.643	0.85	0.3	89.0	stop_signal	89.0	0.647	False	stop_failure	s061
245.897	0.85	0.25	71.0	stop_signal	71.0	0.828	False	go	s061
248.286	0.85	0.25	71.0	stop_signal	71.0	0.722	False	go	s061
250.811	0.85	0.25	71.0	stop_signal	71.0	0.807	False	go	s061
253.199	0.85	0.25	71.0	stop_signal	71.0	0.85	False	go	s061
255.724	0.85	0.25	71.0	stop_signal	89.0	0.605	False	stop_failure	s061
258.658	0.85	0.2	71.0	stop_signal	71.0	0.872	False	go	s061
261.183	0.85	0.2	71.0	stop_signal	71.0	1.039	False	go	s061
263.71	0.85	0.2	71.0	stop_signal	71.0	0.637	False	go	s061
265.963	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
268.488	0.85	0.25	89.0	stop_signal	89.0	0.781	False	go	s061
270.878	0.85	0.25	71.0	stop_signal	71.0	0.694	False	go	s061
273.129	0.85	0.25	89.0	stop_signal	89.0	0.737	False	go	s061
275.518	0.85	0.25	71.0	stop_signal	71.0	0.716	False	go	s061
277.77	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
280.16	0.85	0.3	89.0	stop_signal	89.0	0.56	False	go	s061
282.684	0.85	0.3	89.0	stop_signal	89.0	0.569	False	stop_failure	s061
284.938	0.85	0.25	89.0	stop_signal	89.0	0.551	False	stop_failure	s061
287.326	0.85	0.2	89.0	stop_signal	89.0	0.622	False	go	s061
289.988	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
292.24	0.85	0.25	89.0	stop_signal	89.0	0.618	False	go	s061
295.446	0.85	0.25	89.0	stop_signal	89.0	0.718	False	go	s061
297.834	0.85	0.25	71.0	stop_signal	71.0	0.929	False	go	s061
300.223	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
302.748	0.85	0.3	71.0	stop_signal	71.0	0.859	False	go	s061
305.002	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s061
307.256	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s061
309.508	0.85	0.4	71.0	stop_signal	71.0	0.731	False	go	s061
312.441	0.85	0.4	71.0	stop_signal	71.0	0.861	False	go	s061
314.966	0.85	0.4	89.0	stop_signal	89.0	0.804	False	go	s061
317.491	0.85	0.4	89.0	stop_signal	89.0	0.513	False	go	s061
319.745	0.85	0.4	71.0	stop_signal	71.0	0.775	False	stop_failure	s061
322.271	0.85	0.35	89.0	stop_signal	89.0	0.992	False	stop_failure	s061
324.524	0.85	0.3	89.0	stop_signal	89.0	0.619	False	go	s061
