onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
4.412	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.357	blue	7.0	cue_switch	color	stay	s358	1
6.654	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.731	blue	1.0	task_switch	magnitude	switch	s358	0
9.831	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.6	blue	2.0	task_switch	color	switch	s358	0
12.871	1.0	0.9	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.475	blue	8.0	cue_stay	color	stay	s358	0
15.247	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.777	blue	7.0	task_switch	magnitude	switch	s358	0
17.352	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.926	orange	2.0	cue_stay	magnitude	stay	s358	0
21.073	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.476	blue	1.0	cue_switch	magnitude	stay	s358	0
23.586	1.0	0.1	True	89.0	High-Low	stay	twobytwo	89.0	0.726	blue	7.0	cue_stay	magnitude	stay	s358	0
26.491	1.0	0.9	True	71.0	High-Low	stay	twobytwo	71.0	0.457	orange	2.0	cue_stay	magnitude	stay	s358	0
29.14	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.886	orange	3.0	task_switch	color	switch	s358	0
32.181	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.531	orange	9.0	task_switch	magnitude	switch	s358	0
34.285	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.916	orange	3.0	cue_stay	magnitude	stay	s358	0
36.39	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.717	orange	1.0	cue_switch	magnitude	stay	s358	0
38.632	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.796	orange	4.0	cue_stay	magnitude	stay	s358	0
40.872	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.919	orange	3.0	task_switch	color	switch	s358	0
43.25	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.176	orange	3.0	cue_switch	color	stay	s358	0
47.379	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.56	orange	9.0	cue_switch	color	stay	s358	0
50.282	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.562	orange	1.0	task_switch	magnitude	switch	s358	0
52.387	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.865	blue	6.0	task_switch	color	switch	s358	0
54.765	1.0	0.1	False	71.0	High-Low	n/a	twobytwo	-1.0	n/a	orange	2.0	task_switch	magnitude	switch	s358	0
57.006	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.63	orange	4.0	cue_switch	magnitude	stay	s358	0
59.911	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.492	orange	1.0	cue_stay	magnitude	stay	s358	0
