onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.008	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s582
3.515864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.77	stim	s582
5.622	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s582
6.129	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.506	stim	s582
8.232	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
8.737	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.648	stim	s582
10.84	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s582
11.344592	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.433	stim	s582
13.448	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s582
13.952456	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.498	stim	s582
16.057	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
16.560592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.573	stim	s582
18.666	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
19.173	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.538	stim	s582
21.277	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s582
21.782592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.539	stim	s582
23.886	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
24.392	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.714	stim	s582
26.495	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
26.999592	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.57	stim	s582
29.103	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
29.607	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.559	stim	s582
31.71	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
32.215	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.605	stim	s582
34.318	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
34.826592	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.627	stim	s582
36.931	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s582
37.436864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.546	stim	s582
