onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.519	1.5	congruent	1.0	71.0	stroop	71	0.924	blue	blue	congruent	s574
5.796	1.5	incongruent	1.0	82.0	stroop	82	0.826	green	red	incongruent	s574
7.799	1.5	congruent	1.0	82.0	stroop	82	0.535	green	green	congruent	s574
10.212	1.5	congruent	1.0	82.0	stroop	82	0.488	green	green	congruent	s574
12.215	1.5	congruent	1.0	71.0	stroop	71	0.971	blue	blue	congruent	s574
14.353	1.5	congruent	1.0	82.0	stroop	82	0.733	green	green	congruent	s574
16.356	1.5	congruent	1.0	89.0	stroop	89	1.2	red	red	congruent	s574
18.362	1.5	incongruent	1.0	71.0	stroop	71	1.058	blue	red	incongruent	s574
20.367	1.5	congruent	1.0	89.0	stroop	89	0.524	red	red	congruent	s574
22.645	1.5	incongruent	1.0	82.0	stroop	82	0.919	green	blue	incongruent	s574
24.65	1.5	incongruent	1.0	89.0	stroop	89	0.903	red	blue	incongruent	s574
26.928	1.5	incongruent	1.0	82.0	stroop	82	0.942	green	red	incongruent	s574
29.205	1.5	incongruent	1.0	71.0	stroop	71	1.108	blue	red	incongruent	s574
31.208	1.5	congruent	1.0	71.0	stroop	71	0.634	blue	blue	congruent	s574
33.893	1.5	incongruent	1.0	82.0	stroop	82	0.99	green	blue	incongruent	s574
35.899	1.5	congruent	1.0	71.0	stroop	71	0.932	blue	blue	congruent	s574
38.176	1.5	congruent	0.0	82.0	stroop	89	1.197	green	green	congruent	s574
40.18	1.5	congruent	1.0	82.0	stroop	82	0.638	green	green	congruent	s574
42.184	1.5	incongruent	1.0	71.0	stroop	71	0.598	blue	green	incongruent	s574
44.462	1.5	congruent	1.0	89.0	stroop	89	0.475	red	red	congruent	s574
46.603	1.5	congruent	1.0	89.0	stroop	89	0.492	red	red	congruent	s574
49.15	1.5	incongruent	1.0	89.0	stroop	89	0.427	red	green	incongruent	s574
51.563	1.5	incongruent	1.0	82.0	stroop	82	0.669	green	red	incongruent	s574
53.569	1.5	incongruent	1.0	71.0	stroop	71	0.683	blue	red	incongruent	s574
55.574	1.5	incongruent	1.0	89.0	stroop	89	0.749	red	green	incongruent	s574
57.58	1.5	congruent	1.0	89.0	stroop	89	0.649	red	red	congruent	s574
60.126	1.5	congruent	1.0	89.0	stroop	89	0.773	red	red	congruent	s574
62.268	1.5	congruent	1.0	82.0	stroop	82	1.125	green	green	congruent	s574
64.273	1.5	congruent	1.0	71.0	stroop	71	0.764	blue	blue	congruent	s574
66.279	1.5	congruent	1.0	89.0	stroop	89	1.676	red	red	congruent	s574
