onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.008	0.85	0.3	71.0	stop_signal	71.0	0.579	False	stop_failure	s465
6.077	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
8.328	0.85	0.3	89.0	stop_signal	89.0	0.531	False	go	s465
10.717	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
13.104	0.85	0.35	71.0	stop_signal	71.0	0.6	False	go	s465
15.629	0.85	0.35	71.0	stop_signal	71.0	0.604	False	go	s465
18.016	0.85	0.35	71.0	stop_signal	71.0	0.841	False	go	s465
20.404	0.85	0.35	89.0	stop_signal	89.0	0.543	False	stop_failure	s465
23.201	0.85	0.3	89.0	stop_signal	89.0	0.616	False	go	s465
25.59	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
27.841	0.85	0.35	89.0	stop_signal	89.0	0.572	False	stop_failure	s465
30.365	0.85	0.3	89.0	stop_signal	89.0	0.477	False	stop_failure	s465
32.754	0.85	0.25	89.0	stop_signal	89.0	0.7	False	go	s465
35.143	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
37.395	0.85	0.3	89.0	stop_signal	89.0	0.582	False	go	s465
39.783	0.85	0.3	89.0	stop_signal	89.0	0.516	False	go	s465
42.035	0.85	0.3	71.0	stop_signal	71.0	0.49	False	stop_failure	s465
44.288	0.85	0.25	71.0	stop_signal	71.0	0.607	False	go	s465
46.54	0.85	0.25	71.0	stop_signal	71.0	0.613	False	go	s465
48.929	0.85	0.25	71.0	stop_signal	71.0	0.487	False	stop_failure	s465
51.181	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
53.433	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
55.822	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
58.21	0.85	0.35	71.0	stop_signal	71.0	0.732	False	go	s465
60.463	0.85	0.35	71.0	stop_signal	71.0	0.594	False	stop_failure	s465
62.988	0.85	0.3	71.0	stop_signal	71.0	0.814	False	go	s465
65.24	0.85	0.3	71.0	stop_signal	71.0	0.476	False	go	s465
67.629	0.85	0.3	71.0	stop_signal	71.0	0.431	False	go	s465
69.881	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
72.133	0.85	0.35	89.0	stop_signal	89.0	0.536	False	go	s465
74.521	0.85	0.35	71.0	stop_signal	71.0	0.592	False	go	s465
77.045	0.85	0.35	89.0	stop_signal	89.0	0.609	False	go	s465
79.433	0.85	0.35	71.0	stop_signal	71.0	0.519	False	go	s465
81.958	0.85	0.35	89.0	stop_signal	89.0	0.57	False	stop_failure	s465
84.889	0.85	0.3	89.0	stop_signal	89.0	0.527	False	go	s465
87.414	0.85	0.3	89.0	stop_signal	89.0	0.437	False	go	s465
89.938	0.85	0.3	71.0	stop_signal	71.0	0.577	False	go	s465
92.191	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
94.715	0.85	0.35	89.0	stop_signal	89.0	0.555	False	go	s465
97.103	0.85	0.35	89.0	stop_signal	89.0	0.526	False	go	s465
99.356	0.85	0.35	71.0	stop_signal	71.0	0.688	False	go	s465
112.251	0.85	0.35	71.0	stop_signal	71.0	0.688	False	go	s465
114.503	0.85	0.35	89.0	stop_signal	89.0	0.583	False	stop_failure	s465
116.891	0.85	0.3	71.0	stop_signal	71.0	0.59	False	go	s465
119.415	0.85	0.3	89.0	stop_signal	89.0	0.488	False	stop_failure	s465
121.667	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
124.056	0.85	0.3	71.0	stop_signal	71.0	0.43	False	go	s465
126.715	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
128.968	0.85	0.35	89.0	stop_signal	89.0	0.581	False	go	s465
132.173	0.85	0.35	89.0	stop_signal	71.0	0.477	False	go	s465
134.561	0.85	0.35	89.0	stop_signal	89.0	0.618	False	go	s465
136.95	0.85	0.35	71.0	stop_signal	71.0	0.479	False	stop_failure	s465
139.473	0.85	0.3	71.0	stop_signal	71.0	0.491	False	go	s465
141.726	0.85	0.3	89.0	stop_signal	89.0	0.408	False	stop_failure	s465
143.978	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
146.23	0.85	0.3	71.0	stop_signal	71.0	0.563	False	go	s465
149.162	0.85	0.3	89.0	stop_signal	89.0	0.526	False	go	s465
151.687	0.85	0.3	89.0	stop_signal	89.0	0.529	False	go	s465
154.21	0.85	0.3	89.0	stop_signal	89.0	0.59	False	go	s465
156.463	0.85	0.3	71.0	stop_signal	71.0	0.49	False	stop_failure	s465
158.988	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
161.24	0.85	0.3	89.0	stop_signal	89.0	0.998	False	go	s465
163.629	0.85	0.3	71.0	stop_signal	71.0	0.562	False	stop_failure	s465
165.882	0.85	0.25	89.0	stop_signal	89.0	0.401	False	go	s465
168.542	0.85	0.25	89.0	stop_signal	89.0	0.597	False	go	s465
171.203	0.85	0.25	89.0	stop_signal	89.0	0.54	False	go	s465
173.455	0.85	0.25	71.0	stop_signal	71.0	0.613	False	go	s465
175.707	0.85	0.25	71.0	stop_signal	71.0	0.687	False	go	s465
178.095	0.85	0.25	89.0	stop_signal	89.0	0.646	False	stop_failure	s465
180.891	0.85	0.2	71.0	stop_signal	71.0	0.497	False	stop_failure	s465
183.281	0.85	0.15	89.0	stop_signal	89.0	1.37	False	stop_failure	s465
185.533	0.85	0.1	89.0	stop_signal	71.0	0.72	False	stop_failure	s465
187.785	0.85	0.05	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
190.037	0.85	0.1	89.0	stop_signal	89.0	0.715	False	go	s465
192.698	0.85	0.1	71.0	stop_signal	71.0	0.609	False	go	s465
195.359	0.85	0.1	89.0	stop_signal	89.0	1.115	False	go	s465
197.611	0.85	0.1	71.0	stop_signal	71.0	1.265	False	go	s465
200.135	0.85	0.1	71.0	stop_signal	71.0	1.371	False	go	s465
202.388	0.85	0.1	89.0	stop_signal	71.0	1.357	False	stop_failure	s465
204.912	0.85	0.05	89.0	stop_signal	89.0	1.459	False	go	s465
207.437	0.85	0.05	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
209.961	0.85	0.1	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
212.35	0.85	0.15	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
225.38	0.85	0.2	89.0	stop_signal	89.0	0.586	False	go	s465
227.905	0.85	0.2	89.0	stop_signal	89.0	0.566	False	go	s465
230.293	0.85	0.2	71.0	stop_signal	71.0	0.483	False	go	s465
232.546	0.85	0.2	89.0	stop_signal	89.0	0.528	False	go	s465
235.07	0.85	0.2	71.0	stop_signal	71.0	0.463	False	go	s465
237.867	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
240.391	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
242.779	0.85	0.3	89.0	stop_signal	89.0	0.557	False	go	s465
245.032	0.85	0.3	71.0	stop_signal	71.0	0.652	False	stop_failure	s465
247.285	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
249.537	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s465
251.789	0.85	0.35	71.0	stop_signal	71.0	0.517	False	go	s465
254.313	0.85	0.35	71.0	stop_signal	71.0	1.001	False	go	s465
256.566	0.85	0.35	89.0	stop_signal	89.0	0.68	False	stop_failure	s465
258.817	0.85	0.3	71.0	stop_signal	71.0	0.438	False	go	s465
261.07	0.85	0.3	89.0	stop_signal	89.0	0.587	False	go	s465
263.322	0.85	0.3	71.0	stop_signal	71.0	0.498	False	go	s465
265.71	0.85	0.3	71.0	stop_signal	71.0	0.494	False	go	s465
267.962	0.85	0.3	89.0	stop_signal	89.0	0.59	False	stop_failure	s465
270.214	0.85	0.25	89.0	stop_signal	71.0	0.514	False	go	s465
272.466	0.85	0.25	71.0	stop_signal	71.0	0.595	False	stop_failure	s465
274.719	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
277.243	0.85	0.25	71.0	stop_signal	71.0	0.648	False	go	s465
279.633	0.85	0.25	71.0	stop_signal	71.0	0.508	False	go	s465
282.157	0.85	0.25	71.0	stop_signal	71.0	1.221	False	stop_failure	s465
284.41	0.85	0.2	89.0	stop_signal	89.0	0.524	False	go	s465
286.798	0.85	0.2	71.0	stop_signal	71.0	0.604	False	go	s465
289.187	0.85	0.2	89.0	stop_signal	89.0	0.725	False	go	s465
291.439	0.85	0.2	89.0	stop_signal	71.0	0.486	False	go	s465
293.828	0.85	0.2	71.0	stop_signal	71.0	0.554	False	go	s465
296.216	0.85	0.2	71.0	stop_signal	-1.0	n/a	True	stop_success	s465
298.603	0.85	0.25	89.0	stop_signal	89.0	0.826	False	go	s465
301.264	0.85	0.25	89.0	stop_signal	71.0	0.606	False	go	s465
303.788	0.85	0.25	71.0	stop_signal	71.0	0.662	False	stop_failure	s465
306.041	0.85	0.2	71.0	stop_signal	71.0	0.71	False	stop_failure	s465
308.973	0.85	0.15	71.0	stop_signal	89.0	0.464	False	go	s465
311.225	0.85	0.15	71.0	stop_signal	71.0	0.558	False	go	s465
313.75	0.85	0.15	71.0	stop_signal	71.0	0.883	False	stop_failure	s465
316.002	0.85	0.1	71.0	stop_signal	71.0	0.63	False	go	s465
318.255	0.85	0.1	89.0	stop_signal	89.0	0.567	False	go	s465
320.507	0.85	0.1	89.0	stop_signal	89.0	0.603	False	go	s465
322.76	0.85	0.1	71.0	stop_signal	71.0	0.518	False	go	s465
