onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-57.688	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	24.209	n/a	instructions	s629
3.015	5.242	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	5.242	1,0,0,2,3,0,0,0,0	to_hand	s629
8.259	1.026	0	UA_with_intermediate	1,3,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	1.026	1,0,0,2,3,0,0,0,0	to_board	s629
9.287	0.742	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.742	1,0,0,2,3,0,0,0,0	to_hand	s629
10.03	0.744	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.744	1,0,0,2,3,0,0,0,0	to_board	s629
10.775	2.693	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	2.693	1,0,0,2,3,0,0,0,0	to_hand	s629
13.47	0.929	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.929	1,0,0,2,3,0,0,0,0	to_board	s629
14.402	1.239	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	1.239	1,0,0,2,3,0,0,0,0	to_hand	s629
15.641	0.858	0	UA_with_intermediate	1,0,0,0,0,0,2,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.858	1,0,0,2,3,0,0,0,0	to_board	s629
16.5	0.952	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.952	1,0,0,2,3,0,0,0,0	to_hand	s629
17.452	0.762	0	UA_with_intermediate	1,0,0,0,0,0,2,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.762	1,0,0,2,3,0,0,0,0	to_board	s629
18.216	1.42	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.42	1,0,0,2,3,0,0,0,0	to_hand	s629
19.637	0.457	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.457	1,0,0,2,3,0,0,0,0	to_board	s629
20.095	1.08	0	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.08	1,0,0,2,3,0,0,0,0	to_hand	s629
21.176	0.888	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.888	1,0,0,2,3,0,0,0,0	to_board	s629
22.066	1.303	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	1.303	1,0,0,2,3,0,0,0,0	to_hand	s629
23.369	0.508	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.508	1,0,0,2,3,0,0,0,0	to_board	s629
23.88	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s629
26.382	3.616	1	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	3.616	1,2,0,3,0,0,0,0,0	to_hand	s629
29.998	0.792	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.792	1,2,0,3,0,0,0,0,0	to_board	s629
30.792	0.778	0	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.778	1,2,0,3,0,0,0,0,0	to_hand	s629
31.571	1.725	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	1.725	1,2,0,3,0,0,0,0,0	to_board	s629
33.298	1.142	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	1.142	1,2,0,3,0,0,0,0,0	to_hand	s629
34.441	0.443	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.443	1,2,0,3,0,0,0,0,0	to_board	s629
34.885	3.23	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	3.23	1,2,0,3,0,0,0,0,0	to_hand	s629
38.117	1.118	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	1.118	1,2,0,3,0,0,0,0,0	to_board	s629
