onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
4.422	1.0	0.9	False	89.0	Orange-Blue	switch	twobytwo	71.0	1.033	blue	6.0	cue_switch	color	stay	s629	1
6.664	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.688	blue	7.0	task_switch	magnitude	switch	s629	0
9.041	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.57	blue	2.0	task_switch	color	switch	s629	0
11.283	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.483	blue	1.0	cue_stay	color	stay	s629	0
14.462	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.581	blue	3.0	task_switch	magnitude	switch	s629	0
16.569	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.704	blue	7.0	cue_stay	magnitude	stay	s629	0
20.289	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.529	orange	7.0	cue_switch	magnitude	stay	s629	0
22.804	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.597	orange	8.0	cue_stay	magnitude	stay	s629	0
25.71	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.484	blue	1.0	cue_stay	magnitude	stay	s629	0
28.36	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.591	blue	3.0	task_switch	color	switch	s629	0
31.407	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.497	orange	8.0	task_switch	magnitude	switch	s629	0
34.313	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.86	blue	7.0	cue_stay	magnitude	stay	s629	0
36.417	1.0	0.1	True	71.0	High-Low	switch	twobytwo	71.0	1.171	orange	9.0	cue_switch	magnitude	stay	s629	0
38.656	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.454	orange	9.0	cue_stay	magnitude	stay	s629	0
40.897	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.679	orange	9.0	task_switch	color	switch	s629	0
43.276	1.0	0.1	False	71.0	Color	switch	twobytwo	89.0	0.427	orange	3.0	cue_switch	color	stay	s629	0
46.607	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.534	orange	9.0	cue_switch	color	stay	s629	0
49.513	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.702	blue	6.0	task_switch	magnitude	switch	s629	0
51.62	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.025	blue	4.0	task_switch	color	switch	s629	0
54.796	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.564	orange	1.0	task_switch	magnitude	switch	s629	0
57.039	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.595	blue	2.0	cue_switch	magnitude	stay	s629	0
59.146	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.812	orange	6.0	cue_stay	magnitude	stay	s629	0
61.251	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.502	orange	6.0	cue_stay	magnitude	stay	s629	0
63.357	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.45	blue	6.0	cue_stay	magnitude	stay	s629	0
66.143	1.0	0.1	False	89.0	Orange-Blue	n/a	twobytwo	71.0	0.749	blue	7.0	task_switch	color	switch	s629	0
69.05	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.575	blue	6.0	task_switch	magnitude	switch	s629	0
71.429	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.549	orange	1.0	task_switch	color	switch	s629	0
73.536	1.0	0.1	False	71.0	Color	switch	twobytwo	89.0	0.461	orange	9.0	cue_switch	color	stay	s629	0
76.712	1.0	0.9	False	71.0	Orange-Blue	switch	twobytwo	89.0	0.407	orange	1.0	cue_switch	color	stay	s629	0
79.77	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.76	blue	3.0	task_switch	magnitude	switch	s629	0
81.877	1.0	0.1	True	71.0	High-Low	switch	twobytwo	71.0	0.497	orange	9.0	cue_switch	magnitude	stay	s629	0
83.984	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.637	blue	4.0	task_switch	color	switch	s629	0
86.891	1.0	0.9	False	89.0	Orange-Blue	stay	twobytwo	71.0	0.72	blue	7.0	cue_stay	color	stay	s629	0
89.797	1.0	0.9	False	89.0	Color	switch	twobytwo	71.0	0.711	blue	8.0	cue_switch	color	stay	s629	0
92.043	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.703	blue	3.0	task_switch	magnitude	switch	s629	0
94.95	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.497	blue	3.0	task_switch	color	switch	s629	0
97.056	1.0	0.1	False	71.0	Color	switch	twobytwo	89.0	0.538	orange	3.0	cue_switch	color	stay	s629	0
99.963	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.563	orange	7.0	task_switch	magnitude	switch	s629	0
102.339	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.548	orange	7.0	task_switch	color	switch	s629	0
104.582	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.68	blue	1.0	task_switch	magnitude	switch	s629	0
107.488	1.0	0.9	False	89.0	Color	n/a	twobytwo	71.0	0.591	blue	7.0	task_switch	color	switch	s629	0
110.533	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.829	orange	4.0	task_switch	magnitude	switch	s629	0
