onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.005	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s615
3.508	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.41	stim	s615
5.609	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s615
6.111728	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.463	stim	s615
8.214	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s615
8.717	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.402	stim	s615
10.818	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s615
11.320864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.428	stim	s615
13.423	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s615
13.925592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.655	stim	s615
16.027	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s615
16.529456	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.438	stim	s615
18.632	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s615
19.135	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.457	stim	s615
21.236	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s615
21.737864000000002	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.509	stim	s615
23.84	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s615
24.341864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.409	stim	s615
26.443	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s615
26.947864000000003	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.632	stim	s615
