onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
3.63	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.889	blue	3.0	cue_stay	magnitude	stay	s645	1
6.81	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.504	blue	8.0	task_switch	color	switch	s645	0
9.057	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.641	orange	7.0	cue_switch	color	stay	s645	0
11.17	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.882	orange	7.0	task_switch	magnitude	switch	s645	0
14.081	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.485	orange	2.0	task_switch	color	switch	s645	0
17.129	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.606	orange	1.0	task_switch	magnitude	switch	s645	0
19.241	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.831	blue	1.0	task_switch	color	switch	s645	0
21.489	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.658	blue	7.0	cue_stay	color	stay	s645	0
24.809	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.937	blue	9.0	task_switch	magnitude	switch	s645	0
27.856	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.583	blue	6.0	task_switch	color	switch	s645	0
30.767	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.885	blue	3.0	task_switch	magnitude	switch	s645	0
33.815	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.553	blue	9.0	cue_stay	magnitude	stay	s645	0
36.999	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.409	blue	9.0	task_switch	color	switch	s645	0
39.106	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.658	orange	4.0	task_switch	magnitude	switch	s645	0
42.425	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.629	orange	7.0	cue_switch	magnitude	stay	s645	0
45.336	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.528	blue	1.0	task_switch	color	switch	s645	0
47.585	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.546	blue	7.0	task_switch	magnitude	switch	s645	0
50.903	1.0	0.9	False	89.0	Color	n/a	twobytwo	71.0	0.72	orange	3.0	task_switch	color	switch	s645	0
53.952	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.473	orange	7.0	task_switch	magnitude	switch	s645	0
56.468	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.542	orange	4.0	task_switch	color	switch	s645	0
58.715	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.525	orange	9.0	cue_switch	color	stay	s645	0
61.626	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.418	orange	6.0	cue_stay	color	stay	s645	0
64.008	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.558	orange	9.0	task_switch	magnitude	switch	s645	0
66.92	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.492	orange	2.0	task_switch	color	switch	s645	0
70.103	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.417	orange	6.0	cue_switch	color	stay	s645	0
72.486	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.505	orange	9.0	cue_switch	color	stay	s645	0
75.545	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.516	blue	2.0	cue_stay	color	stay	s645	0
79.138	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.481	orange	9.0	cue_stay	color	stay	s645	0
82.185	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.421	orange	6.0	cue_stay	color	stay	s645	0
85.369	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.36	blue	4.0	cue_switch	color	stay	s645	0
88.552	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.529	blue	4.0	task_switch	magnitude	switch	s645	0
90.798	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.552	orange	3.0	cue_switch	magnitude	stay	s645	0
93.317	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.531	blue	6.0	cue_switch	magnitude	stay	s645	0
95.564	1.0	0.1	False	71.0	Magnitude	switch	twobytwo	89.0	0.516	orange	2.0	cue_switch	magnitude	stay	s645	0
98.608	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.576	blue	1.0	cue_switch	magnitude	stay	s645	0
101.52	1.0	0.9	True	71.0	High-Low	stay	twobytwo	71.0	0.457	blue	2.0	cue_stay	magnitude	stay	s645	0
104.432	1.0	0.9	True	71.0	Magnitude	switch	twobytwo	71.0	0.441	blue	3.0	cue_switch	magnitude	stay	s645	0
106.545	1.0	0.1	False	89.0	High-Low	switch	twobytwo	71.0	0.573	blue	6.0	cue_switch	magnitude	stay	s645	0
108.657	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.582	blue	2.0	cue_switch	magnitude	stay	s645	0
110.768	1.0	0.1	True	71.0	High-Low	switch	twobytwo	71.0	0.635	orange	2.0	cue_switch	magnitude	stay	s645	0
113.15	1.0	0.1	False	89.0	Magnitude	switch	twobytwo	71.0	0.483	blue	8.0	cue_switch	magnitude	stay	s645	0
116.47	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.527	blue	7.0	cue_stay	magnitude	stay	s645	0
119.382	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.834	blue	8.0	task_switch	color	switch	s645	0
122.427	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.5	blue	2.0	cue_switch	color	stay	s645	0
125.338	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.611	blue	8.0	task_switch	magnitude	switch	s645	0
128.385	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.534	blue	7.0	task_switch	color	switch	s645	0
131.04	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.046	blue	3.0	task_switch	magnitude	switch	s645	0
133.831	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	0.617	blue	7.0	cue_switch	magnitude	stay	s645	0
137.831	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.578	blue	6.0	cue_switch	magnitude	stay	s645	0
140.078	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.65	blue	4.0	cue_switch	magnitude	stay	s645	0
143.53	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.635	blue	3.0	cue_switch	magnitude	stay	s645	0
146.441	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.49	orange	9.0	task_switch	color	switch	s645	0
149.488	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.678	blue	8.0	task_switch	magnitude	switch	s645	0
151.599	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.739	blue	9.0	task_switch	color	switch	s645	0
154.117	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.506	orange	4.0	cue_switch	color	stay	s645	0
157.027	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	0.467	blue	9.0	cue_stay	color	stay	s645	0
159.134	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.878	blue	2.0	task_switch	magnitude	switch	s645	0
161.245	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.797	blue	7.0	cue_stay	magnitude	stay	s645	0
164.838	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.469	blue	7.0	cue_switch	magnitude	stay	s645	0
167.223	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	1.002	orange	2.0	cue_stay	magnitude	stay	s645	0
170.541	1.0	0.9	True	71.0	High-Low	stay	twobytwo	71.0	0.51	orange	1.0	cue_stay	magnitude	stay	s645	0
173.875	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.603	blue	1.0	task_switch	color	switch	s645	0
176.393	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.015	orange	2.0	task_switch	magnitude	switch	s645	0
179.319	1.0	0.1	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.508	blue	2.0	task_switch	color	switch	s645	0
182.638	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.385	orange	2.0	task_switch	magnitude	switch	s645	0
185.684	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.492	blue	6.0	cue_stay	magnitude	stay	s645	0
188.734	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.553	blue	9.0	cue_switch	magnitude	stay	s645	0
191.645	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.444	orange	6.0	cue_switch	magnitude	stay	s645	0
194.556	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.426	orange	1.0	task_switch	color	switch	s645	0
197.74	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.51	orange	8.0	task_switch	magnitude	switch	s645	0
201.059	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.458	blue	4.0	task_switch	color	switch	s645	0
203.17	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.864	orange	2.0	cue_switch	color	stay	s645	0
206.216	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.49	orange	4.0	task_switch	magnitude	switch	s645	0
209.128	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.45	orange	7.0	task_switch	color	switch	s645	0
211.647	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.567	blue	2.0	cue_switch	color	stay	s645	0
214.029	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.643	orange	8.0	task_switch	magnitude	switch	s645	0
216.139	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	1.062	blue	7.0	cue_switch	magnitude	stay	s645	0
218.523	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.565	orange	8.0	task_switch	color	switch	s645	0
221.435	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.494	blue	2.0	task_switch	magnitude	switch	s645	0
224.345	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.364	blue	7.0	cue_stay	magnitude	stay	s645	0
240.253	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.699	blue	3.0	cue_stay	color	stay	s645	1
243.3	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.574	blue	8.0	task_switch	magnitude	switch	s645	0
245.413	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.724	orange	7.0	cue_switch	magnitude	stay	s645	0
247.525	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.53	orange	7.0	task_switch	color	switch	s645	0
250.437	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.53	orange	2.0	task_switch	magnitude	switch	s645	0
253.347	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.427	orange	1.0	task_switch	color	switch	s645	0
255.459	1.0	0.1	False	71.0	High-Low	n/a	twobytwo	89.0	0.747	blue	1.0	task_switch	magnitude	switch	s645	0
257.708	1.0	0.1	True	89.0	High-Low	stay	twobytwo	89.0	0.839	blue	7.0	cue_stay	magnitude	stay	s645	0
260.62	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.551	blue	9.0	task_switch	color	switch	s645	0
263.533	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.446	blue	6.0	task_switch	magnitude	switch	s645	0
266.578	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.643	blue	3.0	task_switch	color	switch	s645	0
269.49	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	0.441	blue	9.0	cue_stay	color	stay	s645	0
272.536	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.567	blue	9.0	task_switch	magnitude	switch	s645	0
275.326	1.0	0.1	False	89.0	Color	n/a	twobytwo	71.0	0.737	orange	4.0	task_switch	color	switch	s645	0
278.51	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.459	orange	7.0	cue_switch	color	stay	s645	0
281.554	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.574	blue	1.0	task_switch	magnitude	switch	s645	0
283.663	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.833	blue	7.0	task_switch	color	switch	s645	0
286.712	1.0	0.9	False	71.0	High-Low	n/a	twobytwo	89.0	0.617	orange	3.0	task_switch	magnitude	switch	s645	0
290.305	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.381	orange	7.0	task_switch	color	switch	s645	0
292.689	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.8	orange	4.0	task_switch	magnitude	switch	s645	0
294.801	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.62	orange	9.0	cue_switch	magnitude	stay	s645	0
297.713	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.572	orange	6.0	cue_stay	magnitude	stay	s645	0
299.959	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.627	orange	9.0	task_switch	color	switch	s645	0
302.87	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.601	orange	2.0	task_switch	magnitude	switch	s645	0
305.781	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.565	orange	6.0	cue_switch	magnitude	stay	s645	0
307.891	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	0.887	orange	9.0	cue_switch	magnitude	stay	s645	0
310.272	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.573	blue	2.0	cue_stay	magnitude	stay	s645	0
313.59	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.53	orange	9.0	cue_stay	magnitude	stay	s645	0
316.501	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.461	orange	6.0	cue_stay	magnitude	stay	s645	0
319.413	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.569	blue	4.0	cue_switch	magnitude	stay	s645	0
322.324	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.413	blue	4.0	task_switch	color	switch	s645	0
324.706	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.599	orange	3.0	cue_switch	color	stay	s645	0
326.953	1.0	0.1	False	71.0	Orange-Blue	switch	twobytwo	89.0	0.579	blue	6.0	cue_switch	color	stay	s645	0
329.066	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.858	orange	2.0	cue_switch	color	stay	s645	0
332.522	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.542	blue	1.0	cue_switch	color	stay	s645	0
335.703	1.0	0.9	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.425	blue	2.0	cue_stay	color	stay	s645	0
338.886	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.499	blue	3.0	cue_switch	color	stay	s645	0
340.998	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.564	blue	6.0	cue_switch	color	stay	s645	0
343.11	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.484	blue	2.0	cue_switch	color	stay	s645	0
345.359	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.555	orange	2.0	cue_switch	color	stay	s645	0
