onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-65.255	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	25.441	n/a	instructions	s593
3.014	6.118	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	6.118	1,0,0,2,3,0,0,0,0	to_hand	s593
9.134	1.041	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.041	1,0,0,2,3,0,0,0,0	to_board	s593
10.177	0.676	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.676	1,0,0,2,3,0,0,0,0	to_hand	s593
10.854	0.553	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.553	1,0,0,2,3,0,0,0,0	to_board	s593
11.409	1.431	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.431	1,0,0,2,3,0,0,0,0	to_hand	s593
12.841	0.543	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.543	1,0,0,2,3,0,0,0,0	to_board	s593
13.387	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s593
15.889	4.505	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	4.505	1,2,0,3,0,0,0,0,0	to_hand	s593
20.395	0.671	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.671	1,2,0,3,0,0,0,0,0	to_board	s593
21.068	0.654	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.654	1,2,0,3,0,0,0,0,0	to_hand	s593
21.723	0.463	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.463	1,2,0,3,0,0,0,0,0	to_board	s593
22.188	0.848	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.848	1,2,0,3,0,0,0,0,0	to_hand	s593
23.037	0.335	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.335	1,2,0,3,0,0,0,0,0	to_board	s593
23.376	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	feedback	s593
24.376	1.1	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	ITI	s593
25.478	12.129	1	UA_without_intermediate	0,0,0,1,0,0,3,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	12.129	0,0,0,1,2,0,3,0,0	to_hand	s593
37.608	9.894	0	UA_without_intermediate	0,0,0,1,2,0,3,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	9.894	0,0,0,1,2,0,3,0,0	to_board	s593
47.504	0.967	0	UA_without_intermediate	0,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	0.967	0,0,0,1,2,0,3,0,0	to_hand	s593
