onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.529	1.5	incongruent	1.0	89.0	stroop	89	0.663	red	green	incongruent	s637
5.535	1.5	congruent	1.0	89.0	stroop	89	0.573	red	red	congruent	s637
7.542	1.5	incongruent	1.0	82.0	stroop	82	0.875	green	red	incongruent	s637
9.82	1.5	incongruent	1.0	89.0	stroop	89	0.599	red	green	incongruent	s637
11.826	1.5	congruent	1.0	82.0	stroop	82	0.61	green	green	congruent	s637
13.966	1.5	congruent	1.0	71.0	stroop	71	0.535	blue	blue	congruent	s637
15.972	1.5	congruent	1.0	71.0	stroop	71	0.565	blue	blue	congruent	s637
18.114	1.5	congruent	1.0	89.0	stroop	89	0.525	red	red	congruent	s637
20.119	1.5	congruent	1.0	89.0	stroop	89	0.511	red	red	congruent	s637
22.125	1.5	incongruent	1.0	89.0	stroop	89	0.875	red	green	incongruent	s637
24.13	1.5	incongruent	1.0	82.0	stroop	82	0.687	green	red	incongruent	s637
26.409	1.5	incongruent	1.0	89.0	stroop	89	0.773	red	blue	incongruent	s637
28.415	1.5	incongruent	1.0	71.0	stroop	71	0.709	blue	red	incongruent	s637
30.553	1.5	congruent	1.0	89.0	stroop	89	0.513	red	red	congruent	s637
32.967	1.5	incongruent	1.0	89.0	stroop	89	1.249	red	green	incongruent	s637
35.244	1.5	congruent	1.0	89.0	stroop	89	0.471	red	red	congruent	s637
37.929	1.5	congruent	1.0	89.0	stroop	89	0.497	red	red	congruent	s637
39.932	1.5	congruent	1.0	82.0	stroop	82	0.697	green	green	congruent	s637
42.346	1.5	congruent	1.0	82.0	stroop	82	0.511	green	green	congruent	s637
44.488	1.5	incongruent	1.0	89.0	stroop	89	0.73	red	blue	incongruent	s637
47.173	1.5	incongruent	1.0	71.0	stroop	71	0.745	blue	green	incongruent	s637
49.179	1.5	incongruent	1.0	71.0	stroop	71	0.622	blue	green	incongruent	s637
51.32	1.5	congruent	1.0	89.0	stroop	89	1.188	red	red	congruent	s637
54.277	1.5	incongruent	1.0	89.0	stroop	89	0.425	red	blue	incongruent	s637
56.283	1.5	incongruent	1.0	82.0	stroop	82	0.77	green	blue	incongruent	s637
58.561	1.5	incongruent	0.0	82.0	stroop	89	0.643	green	red	incongruent	s637
60.562	1.5	congruent	1.0	82.0	stroop	82	0.707	green	green	congruent	s637
62.568	1.5	congruent	1.0	71.0	stroop	71	0.776	blue	blue	congruent	s637
64.574	1.5	incongruent	1.0	71.0	stroop	71	0.824	blue	green	incongruent	s637
66.578	1.5	congruent	1.0	82.0	stroop	82	0.648	green	green	congruent	s637
68.718	1.5	congruent	1.0	89.0	stroop	89	0.719	red	red	congruent	s637
70.725	1.5	incongruent	1.0	82.0	stroop	82	0.865	green	blue	incongruent	s637
72.731	1.5	congruent	1.0	89.0	stroop	89	1.379	red	red	congruent	s637
74.87	1.5	incongruent	1.0	71.0	stroop	71	0.801	blue	green	incongruent	s637
76.876	1.5	incongruent	1.0	89.0	stroop	89	1.364	red	green	incongruent	s637
78.882	1.5	incongruent	1.0	89.0	stroop	89	0.714	red	blue	incongruent	s637
81.023	1.5	congruent	1.0	71.0	stroop	71	0.692	blue	blue	congruent	s637
83.166	1.5	congruent	1.0	89.0	stroop	89	0.741	red	red	congruent	s637
85.444	1.5	incongruent	1.0	71.0	stroop	71	1.883	blue	red	incongruent	s637
88.128	1.5	congruent	1.0	82.0	stroop	82	0.741	green	green	congruent	s637
90.133	1.5	congruent	1.0	89.0	stroop	89	0.534	red	red	congruent	s637
92.139	1.5	incongruent	1.0	71.0	stroop	71	0.7	blue	green	incongruent	s637
