onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-48.79	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	8.264	n/a	instructions	s526
3.008	8.108	1	UA_with_intermediate	0,0,0,2,3,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	8.108	1,0,0,2,3,0,0,0,0	to_hand	s526
11.118	0.81	0	UA_with_intermediate	0,0,0,2,3,0,1,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.81	1,0,0,2,3,0,0,0,0	to_board	s526
11.93	8.478	0	UA_with_intermediate	0,0,0,2,0,0,1,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	8.478	1,0,0,2,3,0,0,0,0	to_hand	s526
20.41	1.439	0	UA_with_intermediate	0,0,0,2,0,0,1,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.439	1,0,0,2,3,0,0,0,0	to_board	s526
21.85	1.027	0	UA_with_intermediate	0,0,0,0,0,0,1,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	1.027	1,0,0,2,3,0,0,0,0	to_hand	s526
22.877	0.96	0	UA_with_intermediate	2,0,0,0,0,0,1,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.96	1,0,0,2,3,0,0,0,0	to_board	s526
23.838	3.856	0	UA_with_intermediate	0,0,0,0,0,0,1,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	3.856	1,0,0,2,3,0,0,0,0	to_hand	s526
27.696	6.314	0	UA_with_intermediate	0,0,0,2,0,0,1,3,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	6.314	1,0,0,2,3,0,0,0,0	to_board	s526
34.012	1.373	0	UA_with_intermediate	0,0,0,2,0,0,1,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.373	1,0,0,2,3,0,0,0,0	to_hand	s526
