onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-61.723	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	23.864	n/a	instructions	s644
3.018	13.221	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	13.221	1,0,0,2,3,0,0,0,0	to_hand	s644
16.241	0.855	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.855	1,0,0,2,3,0,0,0,0	to_board	s644
17.098	1.406	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	1.406	1,0,0,2,3,0,0,0,0	to_hand	s644
18.506	0.959	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.959	1,0,0,2,3,0,0,0,0	to_board	s644
19.467	1.401	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.401	1,0,0,2,3,0,0,0,0	to_hand	s644
20.87	0.611	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.611	1,0,0,2,3,0,0,0,0	to_board	s644
21.49	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s644
23.991	4.514	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	4.514	1,2,0,3,0,0,0,0,0	to_hand	s644
28.506	0.682	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.682	1,2,0,3,0,0,0,0,0	to_board	s644
29.19	0.843	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.843	1,2,0,3,0,0,0,0,0	to_hand	s644
