onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.011	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
3.5160479999999996	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.612	stim	s605
5.621	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
6.125864	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.6	stim	s605
8.229	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
8.738727999999998	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.646	stim	s605
10.842	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
11.346727999999999	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.776	stim	s605
13.45	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
13.96	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.517	stim	s605
16.063	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
16.569	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.489	stim	s605
18.672	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
19.179728	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.639	stim	s605
21.283	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
21.785	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.676	stim	s605
23.888	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
24.393	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.477	stim	s605
26.496	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
27.005727999999998	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.484	stim	s605
29.109	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
29.614	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.655	stim	s605
31.717	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
32.222864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.551	stim	s605
34.326	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
34.831728000000005	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.568	stim	s605
36.935	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
37.439	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.529	stim	s605
39.542	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
40.047	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.546	stim	s605
42.15	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
42.655	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.719	stim	s605
44.758	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
45.263	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.833	stim	s605
47.366	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
47.871	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.711	stim	s605
49.974	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
50.48	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.667	stim	s605
52.583	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
53.086728	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.483	stim	s605
55.19	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
55.694864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.974	stim	s605
57.799	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
58.306912	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.538	stim	s605
60.412	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
60.916728000000006	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.457	stim	s605
63.02	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
63.524864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.428	stim	s605
65.629	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
66.13786400000001	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.814	stim	s605
68.241	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
68.746	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.565	stim	s605
70.851	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
71.355	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.681	stim	s605
73.458	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
73.967	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.79	stim	s605
76.069	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
76.576	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.645	stim	s605
78.678	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
79.184864	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.57	stim	s605
81.289	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
81.791728	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.5	stim	s605
83.895	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
84.39986400000001	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.551	stim	s605
86.503	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
87.007864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.464	stim	s605
89.111	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
89.616	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.523	stim	s605
91.719	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
92.224	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.429	stim	s605
94.327	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
94.831592	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.514	stim	s605
96.935	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
97.439456	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.62	stim	s605
99.544	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
100.048592	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.428	stim	s605
102.152	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
102.657	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.645	stim	s605
104.76	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
105.26459200000001	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.617	stim	s605
107.366	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
107.874	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.587	stim	s605
109.977	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
110.480592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.459	stim	s605
112.584	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
113.089	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.472	stim	s605
115.192	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
115.697	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.464	stim	s605
117.8	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
118.304592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.584	stim	s605
120.408	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
120.912864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.654	stim	s605
123.016	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
123.522728	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.685	stim	s605
125.626	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s605
126.128456	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.685	stim	s605
128.233	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
128.736728	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.486	stim	s605
130.84	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
131.346	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.472	stim	s605
133.449	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s605
