onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.017	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	noncrit_signal	s592
5.273	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.445	71.0	False	noncrit_nosignal	s592
7.526	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.629	71.0	False	crit_stop_failure	s592
10.378	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.51	71.0	False	noncrit_nosignal	s592
12.73	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.744	71.0	False	crit_go	s592
14.985	0.85	0.2	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s592
17.241	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.536	71.0	False	noncrit_nosignal	s592
19.493	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.638	71.0	False	crit_go	s592
21.848	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.544	71.0	False	noncrit_nosignal	s592
24.501	0.85	0.25	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s592
27.257	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.536	71.0	False	crit_go	s592
29.509	0.85	0.3	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s592
32.265	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.802	71.0	False	noncrit_signal	s592
34.517	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.885	71.0	False	crit_go	s592
36.873	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.539	71.0	False	noncrit_nosignal	s592
39.229	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.585	71.0	False	noncrit_nosignal	s592
41.786	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.662	71.0	False	crit_go	s592
44.042	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.511	71.0	False	noncrit_signal	s592
46.298	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.816	71.0	False	crit_go	s592
48.554	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.604	71.0	False	noncrit_nosignal	s592
50.906	0.85	0.35	71.0	motor_selective_stop_signal	-1.0	n/a	71.0	True	crit_stop_success	s592
