onset	duration	EV	action	clicked_on_loss_card	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	worker_id
3.013	5.181	-0.3150782029364831	draw_card	0.0	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.3638453653668208	5.181	n/a	stim	s627
8.196	2.514	-3.048411536269816	draw_card	0.0	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	-0.1254798351632899	2.514	n/a	stim	s627
10.711	1.746	-7.148411536269817	draw_card	0.0	columbia_card_task_fmri	12.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	2.579441143551371	1.746	n/a	stim	s627
12.458	1.635	-13.98174486960315	draw_card	0.0	columbia_card_task_fmri	12.0	0.6666666666666667	89.0	-70.0	0.3333333333333333	6.0	4.0	1.0	5.725477361276504	1.635	n/a	stim	s627
14.094	1.722	-27.648411536269816	end_round	0.0	columbia_card_task_fmri	12.0	0.5	71.0	-70.0	0.5	6.0	5.0	1.0	8.068956441006819	1.722	4.0	stim	s627
15.82	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
18.07	0.0	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
18.072	5.811	0.5182551303968508	draw_card	0.0	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	0.2425529682408083	5.811	n/a	stim	s627
23.886	1.528	-2.448411536269816	draw_card	0.0	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	2.6723324898753447	1.528	n/a	stim	s627
25.415	1.365	-6.898411536269817	draw_card	0.0	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	5.60850882111324	1.365	n/a	stim	s627
26.781	1.5	-14.315078202936483	end_round	0.0	columbia_card_task_fmri	14.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	9.023452092481136	1.5	3.0	stim	s627
28.287	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
30.537	0.136	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
30.674	4.477	2.1849217970635166	draw_card	0.0	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.2468647911120383	4.477	n/a	stim	s627
35.152	1.891	-0.6484115362698171	draw_card	1.0	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	1.073538520749132	1.891	2.0	stim	s627
37.049	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
39.299	0.34	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
39.639	2.156	3.0182551303968506	draw_card	0.0	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.3596900537491408	2.156	n/a	stim	s627
41.797	1.372	-0.0484115362698156	draw_card	0.0	columbia_card_task_fmri	17.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	3.871496716905732	1.372	n/a	stim	s627
43.171	2.173	-4.648411536269817	end_round	0.0	columbia_card_task_fmri	17.0	0.75	71.0	-75.0	0.25	6.0	3.0	1.0	6.906774754457594	2.173	2.0	stim	s627
45.345	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
47.595	0.408	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
48.005	5.535	4.351588463730183	draw_card	0.0	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	3.4448547118467943	5.535	n/a	stim	s627
53.541	1.976	1.351588463730183	draw_card	0.0	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	5.018078929456031	1.976	n/a	stim	s627
55.519	1.206	-2.6484115362698173	draw_card	0.0	columbia_card_task_fmri	24.0	0.6666666666666667	89.0	-60.0	0.3333333333333333	8.0	3.0	2.0	6.66772430300373	1.206	n/a	stim	s627
56.727	0.888	-8.248411536269819	draw_card	1.0	columbia_card_task_fmri	24.0	0.6	89.0	-60.0	0.4	8.0	4.0	2.0	8.220302208625426	0.888	4.0	stim	s627
57.621	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
59.871	0.136	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
60.008	2.252	4.351588463730183	draw_card	0.0	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	12.100283641222497	2.252	n/a	stim	s627
62.261	0.908	0.6373027494444712	draw_card	1.0	columbia_card_task_fmri	29.0	0.7142857142857143	89.0	-75.0	0.2857142857142857	8.0	2.0	2.0	14.048532703397392	0.908	2.0	stim	s627
63.173	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
65.423	0.136	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
65.56	4.072	0.1293662415079632	draw_card	0.0	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	1.1641233555763932	4.072	n/a	stim	s627
69.633	1.272	-2.1484115362698173	draw_card	0.0	columbia_card_task_fmri	17.0	0.75	89.0	-65.0	0.25	9.0	2.0	2.0	2.579441143551371	1.272	n/a	stim	s627
70.906	1.046	-5.076982964841244	draw_card	0.0	columbia_card_task_fmri	17.0	0.7142857142857143	89.0	-65.0	0.2857142857142857	9.0	3.0	2.0	4.115157530221815	1.046	n/a	stim	s627
71.953	1.946	-8.981744869603148	draw_card	0.0	columbia_card_task_fmri	17.0	0.6666666666666667	89.0	-65.0	0.3333333333333333	9.0	4.0	2.0	5.725477361276504	1.946	n/a	stim	s627
73.9	1.485	-14.448411536269818	end_round	0.0	columbia_card_task_fmri	17.0	0.6	71.0	-65.0	0.4	9.0	5.0	2.0	7.241047228182253	1.485	4.0	stim	s627
75.39	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
77.64	0.0	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
77.642	2.672	4.451588463730182	draw_card	0.0	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	-0.2253947834588316	2.672	n/a	stim	s627
80.314	1.428	3.24047735261907	draw_card	0.0	columbia_card_task_fmri	14.0	0.8888888888888888	89.0	-95.0	0.1111111111111111	10.0	2.0	1.0	1.3287336414764752	1.428	n/a	stim	s627
81.744	1.001	1.726588463730183	draw_card	0.0	columbia_card_task_fmri	14.0	0.875	89.0	-95.0	0.125	10.0	3.0	1.0	3.1203753250362354	1.001	n/a	stim	s627
82.747	0.998	-0.2198401076983882	draw_card	1.0	columbia_card_task_fmri	14.0	0.8571428571428572	89.0	-95.0	0.1428571428571428	10.0	4.0	1.0	5.212678807316159	0.998	4.0	stim	s627
83.749	2.25	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	feedback	s627
85.999	0.068	n/a	-1.0	n/a	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	s627
86.068	4.367	0.3515884637301829	draw_card	0.0	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	-0.9247845570584516	4.367	n/a	stim	s627
90.436	0.695	-1.426189314047594	draw_card	0.0	columbia_card_task_fmri	15.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	10.0	2.0	2.0	0.3333129562809773	0.695	n/a	stim	s627
91.133	0.653	-3.648411536269817	draw_card	0.0	columbia_card_task_fmri	15.0	0.75	89.0	-65.0	0.25	10.0	3.0	2.0	1.7140581329869704	0.653	n/a	stim	s627
