onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
3.016	4.0	larger_later	discount_fixed	89	74.0	121.0	0.758	20.0	larger_later	s567
7.591	4.0	smaller_sooner	discount_fixed	71	45.0	107.0	0.778	20.0	smaller_sooner	s567
12.364	4.0	larger_later	discount_fixed	89	77.0	24.0	1.009	20.0	larger_later	s567
17.006	4.0	smaller_sooner	discount_fixed	71	39.0	161.0	1.086	20.0	smaller_sooner	s567
21.579	4.0	larger_later	discount_fixed	89	62.0	180.0	1.95	20.0	larger_later	s567
27.033	4.0	smaller_sooner	discount_fixed	71	24.0	139.0	0.769	20.0	smaller_sooner	s567
32.421	4.0	larger_later	discount_fixed	89	58.0	72.0	1.303	20.0	larger_later	s567
36.993	4.0	smaller_sooner	discount_fixed	71	56.0	93.0	1.185	20.0	smaller_sooner	s567
43.266	4.0	smaller_sooner	discount_fixed	71	45.0	26.0	1.022	20.0	smaller_sooner	s567
48.789	4.0	smaller_sooner	discount_fixed	71	23.0	42.0	0.8	20.0	smaller_sooner	s567
53.361	4.0	smaller_sooner	discount_fixed	71	50.0	41.0	1.363	20.0	smaller_sooner	s567
58.001	4.0	smaller_sooner	discount_fixed	71	25.0	176.0	0.861	20.0	smaller_sooner	s567
62.64	4.0	larger_later	discount_fixed	89	54.0	22.0	0.799	20.0	larger_later	s567
67.754	4.0	smaller_sooner	discount_fixed	71	29.0	44.0	0.784	20.0	smaller_sooner	s567
73.072	4.0	smaller_sooner	discount_fixed	71	24.0	89.0	0.739	20.0	smaller_sooner	s567
77.643	4.0	smaller_sooner	discount_fixed	71	23.0	77.0	0.774	20.0	smaller_sooner	s567
82.214	4.0	smaller_sooner	discount_fixed	71	27.0	130.0	0.735	20.0	smaller_sooner	s567
86.785	4.0	smaller_sooner	discount_fixed	71	23.0	134.0	0.677	20.0	smaller_sooner	s567
91.627	4.0	larger_later	discount_fixed	89	55.0	107.0	1.0	20.0	larger_later	s567
96.13	4.0	smaller_sooner	discount_fixed	71	44.0	143.0	0.797	20.0	smaller_sooner	s567
101.79	4.0	smaller_sooner	discount_fixed	71	23.0	110.0	0.792	20.0	smaller_sooner	s567
106.702	4.0	larger_later	discount_fixed	89	65.0	156.0	1.519	20.0	larger_later	s567
111.339	4.0	smaller_sooner	discount_fixed	71	22.0	27.0	0.7	20.0	smaller_sooner	s567
115.841	4.0	larger_later	discount_fixed	89	50.0	59.0	0.969	20.0	larger_later	s567
120.346	4.0	larger_later	discount_fixed	89	85.0	129.0	1.873	20.0	larger_later	s567
125.462	4.0	larger_later	discount_fixed	89	66.0	58.0	1.273	20.0	larger_later	s567
131.597	4.0	smaller_sooner	discount_fixed	71	49.0	172.0	1.17	20.0	smaller_sooner	s567
136.441	4.0	larger_later	discount_fixed	89	73.0	44.0	1.393	20.0	larger_later	s567
141.014	4.0	larger_later	discount_fixed	89	58.0	73.0	1.627	20.0	larger_later	s567
145.719	4.0	larger_later	discount_fixed	89	71.0	76.0	1.594	20.0	larger_later	s567
151.581	4.0	smaller_sooner	discount_fixed	71	67.0	74.0	1.318	20.0	smaller_sooner	s567
156.221	4.0	smaller_sooner	discount_fixed	71	29.0	58.0	1.418	20.0	smaller_sooner	s567
161.542	4.0	smaller_sooner	discount_fixed	71	39.0	104.0	1.351	20.0	smaller_sooner	s567
166.521	4.0	smaller_sooner	discount_fixed	71	33.0	103.0	0.841	20.0	smaller_sooner	s567
171.095	4.0	smaller_sooner	discount_fixed	71	33.0	78.0	1.593	20.0	smaller_sooner	s567
176.617	4.0	larger_later	discount_fixed	89	74.0	52.0	1.111	20.0	larger_later	s567
182.21	4.0	smaller_sooner	discount_fixed	71	28.0	132.0	0.844	20.0	smaller_sooner	s567
188.005	4.0	smaller_sooner	discount_fixed	71	28.0	59.0	0.951	20.0	smaller_sooner	s567
192.576	4.0	smaller_sooner	discount_fixed	71	28.0	163.0	1.331	20.0	smaller_sooner	s567
197.689	4.0	smaller_sooner	discount_fixed	71	32.0	74.0	1.094	20.0	smaller_sooner	s567
202.192	4.0	larger_later	discount_fixed	89	57.0	89.0	1.256	20.0	larger_later	s567
207.035	4.0	larger_later	discount_fixed	89	70.0	108.0	1.098	20.0	larger_later	s567
211.606	4.0	larger_later	discount_fixed	89	72.0	95.0	1.801	20.0	larger_later	s567
216.997	4.0	smaller_sooner	discount_fixed	71	30.0	36.0	0.708	20.0	smaller_sooner	s567
222.046	4.0	smaller_sooner	discount_fixed	71	41.0	129.0	1.027	20.0	smaller_sooner	s567
226.754	4.0	larger_later	discount_fixed	89	78.0	129.0	1.389	20.0	larger_later	s567
231.667	4.0	larger_later	discount_fixed	89	71.0	88.0	1.532	20.0	larger_later	s567
236.577	4.0	larger_later	discount_fixed	89	65.0	159.0	1.182	20.0	larger_later	s567
241.42	4.0	smaller_sooner	discount_fixed	71	24.0	125.0	0.744	20.0	smaller_sooner	s567
246.535	4.0	larger_later	discount_fixed	89	58.0	36.0	1.185	20.0	larger_later	s567
251.653	4.0	larger_later	discount_fixed	89	63.0	37.0	0.983	20.0	larger_later	s567
256.36	4.0	larger_later	discount_fixed	89	75.0	41.0	1.287	20.0	larger_later	s567
261.202	4.0	smaller_sooner	discount_fixed	71	45.0	72.0	1.398	20.0	smaller_sooner	s567
266.048	4.0	smaller_sooner	discount_fixed	71	25.0	74.0	1.712	20.0	smaller_sooner	s567
272.931	4.0	smaller_sooner	discount_fixed	71	65.0	137.0	1.117	20.0	smaller_sooner	s567
277.5	4.0	smaller_sooner	discount_fixed	71	49.0	140.0	1.028	20.0	smaller_sooner	s567
282.275	4.0	larger_later	discount_fixed	89	67.0	103.0	1.191	20.0	larger_later	s567
289.297	4.0	smaller_sooner	discount_fixed	71	69.0	172.0	1.539	20.0	smaller_sooner	s567
294.005	4.0	larger_later	discount_fixed	89	66.0	71.0	1.513	20.0	larger_later	s567
299.187	4.0	smaller_sooner	discount_fixed	71	71.0	176.0	1.219	20.0	smaller_sooner	s567
304.232	4.0	smaller_sooner	discount_fixed	71	31.0	76.0	1.088	20.0	smaller_sooner	s567
318.059	4.0	larger_later	discount_fixed	89	43.0	19.0	1.669	20.0	larger_later	s567
322.63	4.0	larger_later	discount_fixed	89	60.0	124.0	1.539	20.0	larger_later	s567
327.27	4.0	smaller_sooner	discount_fixed	71	27.0	142.0	1.092	20.0	smaller_sooner	s567
332.18	4.0	smaller_sooner	discount_fixed	71	25.0	70.0	1.3	20.0	smaller_sooner	s567
336.685	4.0	smaller_sooner	discount_fixed	71	44.0	92.0	1.573	20.0	smaller_sooner	s567
341.666	4.0	larger_later	discount_fixed	89	41.0	27.0	1.586	20.0	larger_later	s567
346.577	4.0	smaller_sooner	discount_fixed	71	64.0	89.0	2.096	20.0	smaller_sooner	s567
351.146	4.0	larger_later	discount_fixed	89	78.0	108.0	1.555	20.0	larger_later	s567
355.648	4.0	larger_later	discount_fixed	89	80.0	145.0	1.922	20.0	larger_later	s567
361.853	4.0	smaller_sooner	discount_fixed	71	41.0	174.0	1.296	20.0	smaller_sooner	s567
366.56	4.0	smaller_sooner	discount_fixed	71	42.0	145.0	1.471	20.0	smaller_sooner	s567
371.605	4.0	smaller_sooner	discount_fixed	71	36.0	114.0	1.879	20.0	smaller_sooner	s567
376.654	4.0	larger_later	discount_fixed	89	58.0	55.0	1.764	20.0	larger_later	s567
381.839	4.0	smaller_sooner	discount_fixed	71	81.0	58.0	1.577	20.0	smaller_sooner	s567
386.817	4.0	smaller_sooner	discount_fixed	71	32.0	111.0	1.268	20.0	smaller_sooner	s567
391.59	4.0	smaller_sooner	discount_fixed	71	25.0	141.0	1.02	20.0	smaller_sooner	s567
396.367	4.0	larger_later	discount_fixed	89	67.0	23.0	1.023	20.0	larger_later	s567
401.55	4.0	smaller_sooner	discount_fixed	71	77.0	161.0	1.377	20.0	smaller_sooner	s567
406.735	4.0	smaller_sooner	discount_fixed	71	55.0	163.0	1.517	20.0	smaller_sooner	s567
411.989	4.0	smaller_sooner	discount_fixed	71	40.0	159.0	1.159	20.0	smaller_sooner	s567
416.562	4.0	smaller_sooner	discount_fixed	71	76.0	161.0	1.22	20.0	smaller_sooner	s567
421.063	4.0	smaller_sooner	discount_fixed	71	48.0	128.0	1.065	20.0	smaller_sooner	s567
425.977	4.0	smaller_sooner	discount_fixed	71	39.0	95.0	1.351	20.0	smaller_sooner	s567
430.548	4.0	larger_later	discount_fixed	89	83.0	105.0	1.455	20.0	larger_later	s567
436.752	4.0	smaller_sooner	discount_fixed	71	67.0	41.0	1.395	20.0	smaller_sooner	s567
441.665	4.0	larger_later	discount_fixed	89	56.0	172.0	1.295	20.0	larger_later	s567
446.918	4.0	smaller_sooner	discount_fixed	71	28.0	123.0	1.582	20.0	smaller_sooner	s567
451.966	4.0	smaller_sooner	discount_fixed	71	50.0	129.0	1.922	20.0	smaller_sooner	s567
456.605	4.0	smaller_sooner	discount_fixed	71	23.0	61.0	1.309	20.0	smaller_sooner	s567
461.313	4.0	larger_later	discount_fixed	89	79.0	92.0	1.529	20.0	larger_later	s567
465.955	4.0	smaller_sooner	discount_fixed	71	61.0	141.0	1.897	20.0	smaller_sooner	s567
470.527	4.0	smaller_sooner	discount_fixed	71	43.0	38.0	1.819	20.0	smaller_sooner	s567
475.1	4.0	smaller_sooner	discount_fixed	71	66.0	145.0	3.273	20.0	smaller_sooner	s567
480.009	4.0	smaller_sooner	discount_fixed	71	30.0	23.0	1.019	20.0	smaller_sooner	s567
484.85	4.0	smaller_sooner	discount_fixed	71	32.0	57.0	1.311	20.0	smaller_sooner	s567
490.103	4.0	smaller_sooner	discount_fixed	71	27.0	91.0	2.065	20.0	smaller_sooner	s567
494.877	4.0	smaller_sooner	discount_fixed	71	43.0	120.0	1.113	20.0	smaller_sooner	s567
500.874	4.0	larger_later	discount_fixed	89	75.0	60.0	1.505	20.0	larger_later	s567
506.465	4.0	smaller_sooner	discount_fixed	71	34.0	176.0	2.594	20.0	smaller_sooner	s567
511.036	4.0	smaller_sooner	discount_fixed	71	24.0	38.0	1.051	20.0	smaller_sooner	s567
516.151	4.0	larger_later	discount_fixed	89	82.0	74.0	1.883	20.0	larger_later	s567
521.812	4.0	false	discount_fixed	-1	58.0	53.0	n/a	20.0	false	s567
526.382	4.0	smaller_sooner	discount_fixed	71	54.0	23.0	1.112	20.0	smaller_sooner	s567
531.158	4.0	smaller_sooner	discount_fixed	71	41.0	55.0	0.904	20.0	smaller_sooner	s567
536.207	4.0	smaller_sooner	discount_fixed	71	77.0	142.0	1.291	20.0	smaller_sooner	s567
541.049	4.0	smaller_sooner	discount_fixed	71	25.0	108.0	1.089	20.0	smaller_sooner	s567
