onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.019	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
3.531	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.445	stim	s641
5.637	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
6.144728	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.601	stim	s641
8.252	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
8.763	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.476	stim	s641
10.869	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
11.381864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.366	stim	s641
13.487	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
13.998592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.536	stim	s641
16.105	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
16.615456	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.382	stim	s641
18.722	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
19.234	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.531	stim	s641
21.34	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
21.850864	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.381	stim	s641
23.958	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
24.470864000000002	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.458	stim	s641
26.575	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
27.086864000000002	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.4	stim	s641
29.193	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
29.703864000000003	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.521	stim	s641
31.811	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
32.321728	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.521	stim	s641
34.429	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
34.939864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.425	stim	s641
37.046	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
37.557592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.393	stim	s641
39.663	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
40.175	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.48	stim	s641
42.282	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
42.790864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.558	stim	s641
44.898	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s641
45.41	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.472	stim	s641
47.514	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s641
