onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
3.634	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	1.082	blue	9.0	cue_stay	color	stay	s641	1
6.969	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.899	orange	8.0	task_switch	magnitude	switch	s641	0
10.289	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.497	orange	1.0	task_switch	color	switch	s641	0
13.216	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.633	orange	2.0	task_switch	magnitude	switch	s641	0
16.536	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.502	orange	1.0	task_switch	color	switch	s641	0
18.782	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.62	orange	9.0	cue_stay	color	stay	s641	0
21.826	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.709	blue	9.0	cue_switch	color	stay	s641	0
24.738	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.571	orange	8.0	cue_switch	color	stay	s641	0
26.85	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.8	orange	8.0	task_switch	magnitude	switch	s641	0
29.234	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.594	blue	2.0	task_switch	color	switch	s641	0
32.552	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.536	blue	2.0	task_switch	magnitude	switch	s641	0
34.665	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.826	blue	3.0	cue_switch	magnitude	stay	s641	0
37.714	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.673	blue	8.0	task_switch	color	switch	s641	0
39.824	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.77	orange	2.0	task_switch	magnitude	switch	s641	0
42.344	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.554	blue	1.0	cue_switch	magnitude	stay	s641	0
44.727	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.874	blue	2.0	task_switch	color	switch	s641	0
