onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.517	1.5	incongruent	1.0	82.0	stroop	82	1.027	green	red	incongruent	s619
5.522	1.5	congruent	1.0	71.0	stroop	71	0.656	blue	blue	congruent	s619
7.527	1.5	incongruent	1.0	89.0	stroop	89	0.54	red	blue	incongruent	s619
9.802	1.5	incongruent	1.0	89.0	stroop	89	0.904	red	green	incongruent	s619
11.804	1.5	congruent	1.0	82.0	stroop	82	0.66	green	green	congruent	s619
13.943	1.5	congruent	1.0	89.0	stroop	89	0.701	red	red	congruent	s619
15.946	1.5	congruent	1.0	82.0	stroop	82	0.655	green	green	congruent	s619
18.087	1.5	congruent	1.0	71.0	stroop	71	0.844	blue	blue	congruent	s619
20.089	1.5	congruent	1.0	89.0	stroop	89	0.858	red	red	congruent	s619
22.092	1.5	incongruent	1.0	71.0	stroop	71	0.826	blue	green	incongruent	s619
24.098	1.5	incongruent	1.0	82.0	stroop	82	0.654	green	blue	incongruent	s619
26.375	1.5	incongruent	0.0	89.0	stroop	71	0.822	red	blue	incongruent	s619
28.378	1.5	incongruent	1.0	82.0	stroop	82	0.956	green	red	incongruent	s619
30.516	1.5	congruent	1.0	82.0	stroop	82	0.76	green	green	congruent	s619
32.93	1.5	incongruent	1.0	89.0	stroop	89	0.924	red	blue	incongruent	s619
35.204	1.5	congruent	1.0	71.0	stroop	71	0.652	blue	blue	congruent	s619
37.89	1.5	congruent	1.0	82.0	stroop	82	0.733	green	green	congruent	s619
39.893	1.5	congruent	1.0	89.0	stroop	89	0.67	red	red	congruent	s619
42.303	1.5	congruent	1.0	82.0	stroop	82	0.65	green	green	congruent	s619
44.442	1.5	incongruent	1.0	82.0	stroop	82	0.813	green	red	incongruent	s619
47.127	1.5	incongruent	1.0	71.0	stroop	71	0.939	blue	green	incongruent	s619
49.13	1.5	incongruent	1.0	82.0	stroop	82	1.023	green	blue	incongruent	s619
51.268	1.5	congruent	1.0	71.0	stroop	71	0.928	blue	blue	congruent	s619
54.226	1.5	incongruent	1.0	89.0	stroop	89	0.541	red	green	incongruent	s619
56.227	1.5	incongruent	1.0	71.0	stroop	71	0.883	blue	red	incongruent	s619
58.502	1.5	incongruent	1.0	71.0	stroop	71	0.729	blue	red	incongruent	s619
60.508	1.5	congruent	1.0	89.0	stroop	89	0.712	red	red	congruent	s619
62.514	1.5	congruent	1.0	89.0	stroop	89	0.526	red	red	congruent	s619
64.519	1.5	incongruent	1.0	71.0	stroop	71	1.028	blue	green	incongruent	s619
66.522	1.5	congruent	1.0	71.0	stroop	71	0.733	blue	blue	congruent	s619
68.663	1.5	congruent	1.0	89.0	stroop	89	1.185	red	red	congruent	s619
70.668	1.5	incongruent	1.0	89.0	stroop	89	0.814	red	green	incongruent	s619
72.671	1.5	congruent	1.0	71.0	stroop	71	0.662	blue	blue	congruent	s619
74.812	1.5	incongruent	0.0	89.0	stroop	71	1.308	red	blue	incongruent	s619
76.818	1.5	incongruent	1.0	71.0	stroop	71	1.849	blue	red	incongruent	s619
78.82	1.5	incongruent	1.0	82.0	stroop	82	0.671	green	red	incongruent	s619
80.959	1.5	congruent	1.0	89.0	stroop	89	0.472	red	red	congruent	s619
83.1	1.5	congruent	1.0	82.0	stroop	82	0.581	green	green	congruent	s619
85.375	1.5	incongruent	1.0	71.0	stroop	71	1.035	blue	red	incongruent	s619
88.06	1.5	congruent	1.0	71.0	stroop	71	0.67	blue	blue	congruent	s619
90.065	1.5	congruent	1.0	89.0	stroop	89	0.566	red	red	congruent	s619
92.07	1.5	incongruent	1.0	89.0	stroop	89	0.753	red	green	incongruent	s619
94.348	1.5	incongruent	1.0	82.0	stroop	82	0.903	green	blue	incongruent	s619
96.354	1.5	congruent	0.0	89.0	stroop	71	0.78	red	red	congruent	s619
98.359	1.5	incongruent	0.0	89.0	stroop	71	0.603	red	blue	incongruent	s619
100.364	1.5	incongruent	1.0	71.0	stroop	71	0.874	blue	green	incongruent	s619
102.37	1.5	incongruent	1.0	71.0	stroop	71	0.447	blue	green	incongruent	s619
104.374	1.5	incongruent	0.0	82.0	stroop	89	0.676	green	blue	incongruent	s619
106.38	1.5	congruent	1.0	82.0	stroop	82	0.511	green	green	congruent	s619
108.657	1.5	incongruent	1.0	89.0	stroop	89	1.03	red	blue	incongruent	s619
110.66	1.5	congruent	0.0	89.0	stroop	71	1.054	red	red	congruent	s619
113.07	1.5	congruent	1.0	89.0	stroop	89	0.581	red	red	congruent	s619
115.076	1.5	congruent	1.0	71.0	stroop	71	1.108	blue	blue	congruent	s619
117.218	1.5	congruent	1.0	71.0	stroop	71	0.512	blue	blue	congruent	s619
119.222	1.5	congruent	1.0	82.0	stroop	82	0.647	green	green	congruent	s619
121.228	1.5	incongruent	1.0	71.0	stroop	71	0.897	blue	red	incongruent	s619
123.234	1.5	congruent	1.0	71.0	stroop	71	0.646	blue	blue	congruent	s619
125.511	1.5	incongruent	1.0	82.0	stroop	82	0.908	green	blue	incongruent	s619
127.516	1.5	incongruent	1.0	89.0	stroop	89	1.275	red	blue	incongruent	s619
129.793	1.5	incongruent	1.0	82.0	stroop	82	0.889	green	blue	incongruent	s619
132.071	1.5	incongruent	1.0	71.0	stroop	71	1.001	blue	red	incongruent	s619
134.075	1.5	congruent	1.0	71.0	stroop	71	0.564	blue	blue	congruent	s619
136.759	1.5	incongruent	1.0	71.0	stroop	71	0.816	blue	red	incongruent	s619
138.764	1.5	congruent	1.0	71.0	stroop	71	0.516	blue	blue	congruent	s619
141.042	1.5	congruent	1.0	89.0	stroop	89	0.881	red	red	congruent	s619
143.045	1.5	congruent	1.0	82.0	stroop	82	0.591	green	green	congruent	s619
145.047	1.5	incongruent	1.0	82.0	stroop	82	0.592	green	red	incongruent	s619
147.322	1.5	congruent	1.0	82.0	stroop	82	0.483	green	green	congruent	s619
149.463	1.5	congruent	1.0	82.0	stroop	82	0.597	green	green	congruent	s619
152.01	1.5	incongruent	1.0	89.0	stroop	89	1.528	red	green	incongruent	s619
154.42	1.5	incongruent	1.0	71.0	stroop	71	0.645	blue	green	incongruent	s619
156.422	1.5	incongruent	1.0	82.0	stroop	82	0.473	green	red	incongruent	s619
158.428	1.5	incongruent	1.0	82.0	stroop	82	0.75	green	blue	incongruent	s619
160.434	1.5	congruent	1.0	82.0	stroop	82	0.578	green	green	congruent	s619
162.98	1.5	congruent	1.0	82.0	stroop	82	0.564	green	green	congruent	s619
165.122	1.5	congruent	1.0	89.0	stroop	89	0.677	red	red	congruent	s619
167.126	1.5	congruent	1.0	71.0	stroop	71	0.477	blue	blue	congruent	s619
169.127	1.5	congruent	1.0	82.0	stroop	82	0.441	green	green	congruent	s619
171.401	1.5	incongruent	1.0	82.0	stroop	82	0.662	green	red	incongruent	s619
173.407	1.5	congruent	1.0	89.0	stroop	89	0.651	red	red	congruent	s619
175.412	1.5	incongruent	0.0	89.0	stroop	71	0.732	red	green	incongruent	s619
177.554	1.5	incongruent	0.0	89.0	stroop	82	0.866	red	green	incongruent	s619
179.559	1.5	incongruent	1.0	71.0	stroop	71	1.212	blue	green	incongruent	s619
181.834	1.5	congruent	1.0	82.0	stroop	82	0.696	green	green	congruent	s619
183.971	1.5	incongruent	0.0	71.0	stroop	82	1.322	blue	green	incongruent	s619
186.38	1.5	congruent	1.0	89.0	stroop	89	0.827	red	red	congruent	s619
188.386	1.5	congruent	1.0	71.0	stroop	71	0.701	blue	blue	congruent	s619
190.391	1.5	incongruent	0.0	89.0	stroop	71	1.924	red	blue	incongruent	s619
193.213	1.5	incongruent	1.0	82.0	stroop	82	0.7	green	blue	incongruent	s619
195.215	1.5	incongruent	1.0	89.0	stroop	89	1.53	red	green	incongruent	s619
197.22	1.5	congruent	1.0	89.0	stroop	89	0.726	red	red	congruent	s619
199.362	1.5	congruent	1.0	82.0	stroop	82	0.677	green	green	congruent	s619
201.367	1.5	incongruent	1.0	82.0	stroop	82	0.678	green	red	incongruent	s619
203.371	1.5	congruent	1.0	71.0	stroop	71	0.707	blue	blue	congruent	s619
205.372	1.5	incongruent	1.0	71.0	stroop	71	1.046	blue	red	incongruent	s619
207.375	1.5	congruent	1.0	71.0	stroop	71	0.521	blue	blue	congruent	s619
