onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-55.752	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	20.909	n/a	instructions	s533
3.007	3.595	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	3.595	1,0,0,2,3,0,0,0,0	to_hand	s533
6.604	1.242	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.242	1,0,0,2,3,0,0,0,0	to_board	s533
7.847	0.911	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.911	1,0,0,2,3,0,0,0,0	to_hand	s533
8.759	0.686	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.686	1,0,0,2,3,0,0,0,0	to_board	s533
9.447	1.115	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.115	1,0,0,2,3,0,0,0,0	to_hand	s533
10.562	1.943	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	1.943	1,0,0,2,3,0,0,0,0	to_board	s533
12.509	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s533
15.011	3.548	1	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	3.548	1,2,0,3,0,0,0,0,0	to_hand	s533
18.56	4.625	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	4.625	1,2,0,3,0,0,0,0,0	to_board	s533
23.188	0.913	0	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.913	1,2,0,3,0,0,0,0,0	to_hand	s533
24.102	2.101	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	2.101	1,2,0,3,0,0,0,0,0	to_board	s533
26.205	0.804	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.804	1,2,0,3,0,0,0,0,0	to_hand	s533
