onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-64.185	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	24.529	n/a	instructions	s588
3.013	4.227	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	4.227	1,0,0,2,3,0,0,0,0	to_hand	s588
7.242	1.833	0	UA_with_intermediate	1,3,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	1.833	1,0,0,2,3,0,0,0,0	to_board	s588
9.077	0.414	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.414	1,0,0,2,3,0,0,0,0	to_hand	s588
9.491	0.448	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.448	1,0,0,2,3,0,0,0,0	to_board	s588
9.94	2.207	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	2.207	1,0,0,2,3,0,0,0,0	to_hand	s588
12.149	0.437	0	UA_with_intermediate	1,3,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.437	1,0,0,2,3,0,0,0,0	to_board	s588
12.587	0.797	0	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.797	1,0,0,2,3,0,0,0,0	to_hand	s588
13.386	0.645	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.645	1,0,0,2,3,0,0,0,0	to_board	s588
14.033	0.654	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.654	1,0,0,2,3,0,0,0,0	to_hand	s588
14.687	0.489	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.489	1,0,0,2,3,0,0,0,0	to_board	s588
15.179	0.758	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.758	1,0,0,2,3,0,0,0,0	to_hand	s588
15.937	0.396	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.396	1,0,0,2,3,0,0,0,0	to_board	s588
16.34	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s588
18.842	4.57	1	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	4.57	1,2,0,3,0,0,0,0,0	to_hand	s588
23.412	0.449	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.449	1,2,0,3,0,0,0,0,0	to_board	s588
23.862	2.174	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	2.174	1,2,0,3,0,0,0,0,0	to_hand	s588
26.038	1.832	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	1.832	1,2,0,3,0,0,0,0,0	to_board	s588
27.872	0.425	0	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.425	1,2,0,3,0,0,0,0,0	to_hand	s588
28.298	0.794	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.794	1,2,0,3,0,0,0,0,0	to_board	s588
29.093	0.668	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.668	1,2,0,3,0,0,0,0,0	to_hand	s588
29.763	0.474	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.474	1,2,0,3,0,0,0,0,0	to_board	s588
30.238	0.749	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.749	1,2,0,3,0,0,0,0,0	to_hand	s588
30.989	3.256	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	3.256	1,2,0,3,0,0,0,0,0	to_board	s588
34.25	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	feedback	s588
35.25	1.1	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	ITI	s588
36.352	5.731	1	UA_without_intermediate	0,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	5.731	0,0,0,1,2,0,3,0,0	to_hand	s588
42.085	1.481	0	UA_without_intermediate	3,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	1.481	0,0,0,1,2,0,3,0,0	to_board	s588
