onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.008	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
3.521	1.7	0.0	89.0	n/a	attention_network_task	down	left	congruent	71	0.832	stim	s495
5.625	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
6.130728	1.7	0.0	89.0	n/a	attention_network_task	down	left	incongruent	71	0.622	stim	s495
8.233	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
8.74	1.7	0.0	71.0	n/a	attention_network_task	up	right	congruent	89	0.73	stim	s495
10.843	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
11.346864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.926	stim	s495
13.449	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
13.953592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.716	stim	s495
16.057	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
16.561456	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.489	stim	s495
18.665	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
19.171	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.626	stim	s495
21.275	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
21.781864000000002	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.607	stim	s495
23.885	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
24.390864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.579	stim	s495
26.497	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
27.004864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.592	stim	s495
29.109	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
29.615864000000002	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.68	stim	s495
31.718	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
32.223728	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.684	stim	s495
34.327	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
34.832864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.53	stim	s495
36.937	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
37.444592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.635	stim	s495
39.547	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
40.052	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.612	stim	s495
42.155	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
42.659864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.628	stim	s495
44.763	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
45.27	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.591	stim	s495
47.373	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
47.880864	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.654	stim	s495
49.984	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s495
50.490048	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.542	stim	s495
52.594	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s495
53.100728000000004	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.621	stim	s495
