onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.519	1.5	incongruent	0.0	82.0	stroop	-1	n/a	green	blue	incongruent	s577
5.524	1.5	congruent	0.0	82.0	stroop	-1	n/a	green	green	congruent	s577
7.53	1.5	incongruent	0.0	82.0	stroop	-1	n/a	green	red	incongruent	s577
9.807	1.5	incongruent	0.0	89.0	stroop	-1	n/a	red	green	incongruent	s577
11.81	1.5	congruent	0.0	89.0	stroop	-1	n/a	red	red	congruent	s577
13.951	1.5	congruent	0.0	89.0	stroop	-1	n/a	red	red	congruent	s577
15.954	1.5	congruent	0.0	89.0	stroop	-1	n/a	red	red	congruent	s577
18.095	1.5	congruent	0.0	82.0	stroop	-1	n/a	green	green	congruent	s577
20.101	1.5	congruent	1.0	71.0	stroop	71	1.138	blue	blue	congruent	s577
22.106	1.5	incongruent	1.0	71.0	stroop	71	0.913	blue	green	incongruent	s577
24.11	1.5	incongruent	1.0	89.0	stroop	89	0.821	red	green	incongruent	s577
26.384	1.5	incongruent	1.0	71.0	stroop	71	0.716	blue	green	incongruent	s577
28.386	1.5	incongruent	1.0	71.0	stroop	71	0.732	blue	red	incongruent	s577
30.525	1.5	congruent	1.0	71.0	stroop	71	0.555	blue	blue	congruent	s577
32.939	1.5	incongruent	1.0	89.0	stroop	89	0.655	red	green	incongruent	s577
35.213	1.5	congruent	1.0	71.0	stroop	71	0.529	blue	blue	congruent	s577
37.899	1.5	congruent	1.0	89.0	stroop	89	0.619	red	red	congruent	s577
39.902	1.5	congruent	1.0	82.0	stroop	82	0.571	green	green	congruent	s577
42.312	1.5	congruent	1.0	71.0	stroop	71	0.463	blue	blue	congruent	s577
44.451	1.5	incongruent	1.0	71.0	stroop	71	0.591	blue	red	incongruent	s577
47.134	1.5	incongruent	1.0	82.0	stroop	82	0.827	green	red	incongruent	s577
49.139	1.5	incongruent	1.0	71.0	stroop	71	0.996	blue	red	incongruent	s577
51.278	1.5	congruent	1.0	82.0	stroop	82	0.834	green	green	congruent	s577
54.236	1.5	incongruent	1.0	89.0	stroop	89	0.626	red	blue	incongruent	s577
56.239	1.5	incongruent	0.0	82.0	stroop	71	0.703	green	blue	incongruent	s577
58.513	1.5	incongruent	1.0	71.0	stroop	71	0.602	blue	red	incongruent	s577
60.518	1.5	congruent	1.0	71.0	stroop	71	0.583	blue	blue	congruent	s577
62.524	1.5	congruent	1.0	82.0	stroop	82	0.609	green	green	congruent	s577
64.529	1.5	incongruent	1.0	82.0	stroop	82	0.569	green	blue	incongruent	s577
66.532	1.5	congruent	1.0	89.0	stroop	89	0.534	red	red	congruent	s577
68.673	1.5	congruent	1.0	89.0	stroop	89	0.45	red	red	congruent	s577
70.679	1.5	incongruent	1.0	89.0	stroop	89	0.751	red	green	incongruent	s577
72.682	1.5	congruent	1.0	89.0	stroop	89	0.631	red	red	congruent	s577
