onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
3.622	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.835	orange	7.0	cue_switch	magnitude	stay	s606	1
5.864	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.021	orange	4.0	task_switch	color	switch	s606	0
9.046	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.588	orange	8.0	task_switch	magnitude	switch	s606	0
11.289	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.611	orange	9.0	cue_stay	magnitude	stay	s606	0
13.664	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.927	blue	2.0	task_switch	color	switch	s606	0
15.769	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.852	blue	1.0	cue_stay	color	stay	s606	0
19.493	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.8	blue	9.0	cue_switch	color	stay	s606	0
22.009	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.761	orange	4.0	cue_stay	color	stay	s606	0
24.116	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	1.044	blue	6.0	cue_stay	color	stay	s606	0
26.769	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.826	orange	1.0	task_switch	magnitude	switch	s606	0
29.816	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.716	orange	2.0	task_switch	color	switch	s606	0
31.922	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	1.015	blue	1.0	cue_stay	color	stay	s606	0
34.827	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.657	orange	9.0	cue_switch	color	stay	s606	0
37.868	1.0	0.9	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.574	orange	9.0	cue_stay	color	stay	s606	0
40.11	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	1.342	orange	9.0	task_switch	magnitude	switch	s606	0
42.487	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	1.067	orange	8.0	cue_switch	magnitude	stay	s606	0
45.816	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	1.043	blue	6.0	cue_switch	magnitude	stay	s606	0
48.724	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.681	orange	8.0	task_switch	color	switch	s606	0
50.829	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.789	blue	8.0	task_switch	magnitude	switch	s606	0
53.213	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.975	blue	1.0	task_switch	color	switch	s606	0
56.26	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.568	blue	7.0	cue_switch	color	stay	s606	0
58.367	1.0	0.1	True	89.0	Color	stay	twobytwo	89.0	0.796	orange	4.0	cue_stay	color	stay	s606	0
61.27	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.497	orange	6.0	cue_stay	color	stay	s606	0
63.376	1.0	0.1	False	71.0	Color	stay	twobytwo	89.0	0.552	blue	6.0	cue_stay	color	stay	s606	0
66.163	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.992	orange	6.0	task_switch	magnitude	switch	s606	0
69.071	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.528	blue	6.0	task_switch	color	switch	s606	0
71.446	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.951	blue	7.0	task_switch	magnitude	switch	s606	0
73.552	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	1.242	blue	4.0	cue_switch	magnitude	stay	s606	0
76.728	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.996	orange	6.0	cue_switch	magnitude	stay	s606	0
79.786	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.972	orange	7.0	task_switch	color	switch	s606	0
82.693	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.532	blue	7.0	cue_switch	color	stay	s606	0
84.8	1.0	0.1	False	89.0	High-Low	n/a	twobytwo	71.0	0.729	blue	7.0	task_switch	magnitude	switch	s606	0
86.907	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	1.229	blue	1.0	cue_stay	magnitude	stay	s606	0
89.011	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	1.218	orange	6.0	cue_switch	magnitude	stay	s606	0
91.259	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.908	blue	8.0	task_switch	color	switch	s606	0
94.166	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.681	blue	7.0	task_switch	magnitude	switch	s606	0
96.272	1.0	0.1	True	89.0	High-Low	switch	twobytwo	89.0	0.771	orange	8.0	cue_switch	magnitude	stay	s606	0
