onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-93.185	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	37.589	n/a	instructions	s606
3.011	7.823	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	7.823	1,0,0,2,3,0,0,0,0	to_hand	s606
10.836	1.52	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.52	1,0,0,2,3,0,0,0,0	to_board	s606
12.359	2.082	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	2.082	1,0,0,2,3,0,0,0,0	to_hand	s606
14.443	0.527	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.527	1,0,0,2,3,0,0,0,0	to_board	s606
14.972	0.924	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.924	1,0,0,2,3,0,0,0,0	to_hand	s606
15.898	0.473	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.473	1,0,0,2,3,0,0,0,0	to_board	s606
16.376	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s606
18.879	12.972	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	12.972	1,2,0,3,0,0,0,0,0	to_hand	s606
31.852	3.848	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	3.848	1,2,0,3,0,0,0,0,0	to_board	s606
35.702	1.046	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	1.046	1,2,0,3,0,0,0,0,0	to_hand	s606
36.748	0.376	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.376	1,2,0,3,0,0,0,0,0	to_board	s606
37.127	0.674	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.674	1,2,0,3,0,0,0,0,0	to_hand	s606
37.802	0.346	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.346	1,2,0,3,0,0,0,0,0	to_board	s606
