onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.009	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
3.521	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.593	stim	s570
5.625	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
6.131	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.563	stim	s570
8.235	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
8.737864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.459	stim	s570
10.842	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
11.345728	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.732	stim	s570
13.45	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
13.953592	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.8	stim	s570
16.058	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
16.562	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.651	stim	s570
18.665	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
19.169864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.858	stim	s570
21.274	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
21.782864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.784	stim	s570
23.887	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
24.391	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.712	stim	s570
26.495	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
26.999592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.886	stim	s570
29.104	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
29.607456	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.615	stim	s570
31.712	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
32.220864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.655	stim	s570
34.325	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
34.828864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.532	stim	s570
36.933	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s570
37.437	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.566	stim	s570
39.544	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
40.051	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.641	stim	s570
42.155	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
42.658864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.542	stim	s570
44.762	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
45.267	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.64	stim	s570
47.371	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s570
47.874864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.823	stim	s570
