onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
3.013	4.0	smaller_sooner	discount_fixed	71	31.0	76.0	2.359	20.0	smaller_sooner	s607
8.334	4.0	smaller_sooner	discount_fixed	71	43.0	19.0	4.254	20.0	smaller_sooner	s607
12.903	4.0	smaller_sooner	discount_fixed	71	60.0	124.0	1.705	20.0	smaller_sooner	s607
17.542	4.0	smaller_sooner	discount_fixed	71	27.0	142.0	1.606	20.0	smaller_sooner	s607
22.455	4.0	smaller_sooner	discount_fixed	71	25.0	70.0	1.577	20.0	smaller_sooner	s607
26.958	4.0	smaller_sooner	discount_fixed	71	44.0	92.0	0.98	20.0	smaller_sooner	s607
31.938	4.0	smaller_sooner	discount_fixed	71	41.0	27.0	1.57	20.0	smaller_sooner	s607
36.849	4.0	smaller_sooner	discount_fixed	71	64.0	89.0	1.366	20.0	smaller_sooner	s607
41.418	4.0	smaller_sooner	discount_fixed	71	78.0	108.0	1.401	20.0	smaller_sooner	s607
45.921	4.0	smaller_sooner	discount_fixed	71	80.0	145.0	0.926	20.0	smaller_sooner	s607
52.126	4.0	smaller_sooner	discount_fixed	71	41.0	174.0	1.256	20.0	smaller_sooner	s607
56.832	4.0	smaller_sooner	discount_fixed	71	42.0	145.0	0.617	20.0	smaller_sooner	s607
61.877	4.0	smaller_sooner	discount_fixed	71	36.0	114.0	1.053	20.0	smaller_sooner	s607
66.923	4.0	larger_later	discount_fixed	89	58.0	55.0	1.527	20.0	larger_later	s607
72.107	4.0	smaller_sooner	discount_fixed	71	81.0	58.0	1.784	20.0	smaller_sooner	s607
77.088	4.0	smaller_sooner	discount_fixed	71	32.0	111.0	1.563	20.0	smaller_sooner	s607
81.865	4.0	smaller_sooner	discount_fixed	71	25.0	141.0	1.995	20.0	smaller_sooner	s607
86.639	4.0	smaller_sooner	discount_fixed	71	67.0	23.0	1.597	20.0	smaller_sooner	s607
91.822	4.0	smaller_sooner	discount_fixed	71	77.0	161.0	2.256	20.0	smaller_sooner	s607
97.006	4.0	smaller_sooner	discount_fixed	71	55.0	163.0	0.84	20.0	smaller_sooner	s607
