onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-61.047	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	19.353	n/a	instructions	s617
3.009	2.492	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	2.492	1,0,0,2,3,0,0,0,0	to_hand	s617
5.502	0.588	0	UA_with_intermediate	1,3,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.588	1,0,0,2,3,0,0,0,0	to_board	s617
6.092	2.224	0	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	2.224	1,0,0,2,3,0,0,0,0	to_hand	s617
8.317	0.515	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.515	1,0,0,2,3,0,0,0,0	to_board	s617
8.834	0.725	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.725	1,0,0,2,3,0,0,0,0	to_hand	s617
9.56	0.905	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.905	1,0,0,2,3,0,0,0,0	to_board	s617
10.467	0.931	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.931	1,0,0,2,3,0,0,0,0	to_hand	s617
11.399	0.48	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.48	1,0,0,2,3,0,0,0,0	to_board	s617
11.883	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s617
14.386	2.711	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	2.711	1,2,0,3,0,0,0,0,0	to_hand	s617
17.098	0.499	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.499	1,2,0,3,0,0,0,0,0	to_board	s617
17.599	0.735	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.735	1,2,0,3,0,0,0,0,0	to_hand	s617
