filename	notes
anat/sub-s640_ses-1_T1w.nii.gz	after participant reentered scanner
anat/sub-s640_ses-1_T2w.nii.gz	after participant reentered scanner
func/sub-s640_ses-1_task-stopSignal_run-1_bold.nii.gz	n/a
func/sub-s640_ses-1_task-WATT3_run-1_bold.nii.gz	after participant reentered scanner
func/sub-s640_ses-1_task-twoByTwo_run-1_sbref.nii.gz	n/a
func/sub-s640_ses-1_task-CCTHot_run-1_bold.nii.gz	after participant reentered scanner
func/sub-s640_ses-1_task-WATT3_run-1_sbref.nii.gz	participant went to bathroom before this run
func/sub-s640_ses-1_task-rest_run-1_bold.nii.gz	n/a
func/sub-s640_ses-1_task-rest_run-1_sbref.nii.gz	n/a
func/sub-s640_ses-1_task-ANT_run-1_bold.nii.gz	n/a
func/sub-s640_ses-1_task-twoByTwo_run-1_bold.nii.gz	n/a
fmap/sub-s640_ses-1_magnitude.nii.gz	after participant reentered scanner
fmap/sub-s640_ses-1_fieldmap.nii.gz	after participant reentered scanner
