onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.01	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
3.515864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.454	stim	s471
5.619	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
6.124	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.596	stim	s471
8.228	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
8.733	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.579	stim	s471
10.837	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
11.341592	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.499	stim	s471
13.446	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
13.950456	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.55	stim	s471
16.054	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
16.559592000000002	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.482	stim	s471
18.664	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
19.17	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.62	stim	s471
21.274	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
21.779592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.622	stim	s471
23.882	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
24.387	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.64	stim	s471
26.49	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
26.997592	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.596	stim	s471
29.102	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
29.608	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.466	stim	s471
31.711	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
32.217	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.474	stim	s471
34.32	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
34.825592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.742	stim	s471
36.929	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
37.433864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.793	stim	s471
39.538	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
40.042728000000004	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.555	stim	s471
42.147	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
42.651455999999996	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.59	stim	s471
44.756	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
45.260728	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.473	stim	s471
47.364	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
47.87	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.666	stim	s471
49.974	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
50.479592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.5	stim	s471
52.583	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
53.09	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.458	stim	s471
55.193	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
55.698	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.53	stim	s471
57.802	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
58.306456	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.684	stim	s471
60.411	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
60.915592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.499	stim	s471
63.019	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
63.525	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.491	stim	s471
65.629	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
66.136864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.484	stim	s471
68.24	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
68.745184	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.491	stim	s471
70.848	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
71.353864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.495	stim	s471
73.458	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
73.963	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.315	stim	s471
76.066	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
76.571864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.499	stim	s471
78.676	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
79.180864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.587	stim	s471
81.284	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
81.789864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.537	stim	s471
83.894	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
84.39845600000001	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.617	stim	s471
86.503	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
87.008	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.631	stim	s471
89.112	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
89.61672800000001	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.673	stim	s471
91.72	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
92.225	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.463	stim	s471
94.328	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
94.832864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.561	stim	s471
96.937	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
97.442592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.597	stim	s471
99.547	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
100.052456	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.482	stim	s471
102.158	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
102.663	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.682	stim	s471
104.767	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
105.272864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.532	stim	s471
107.376	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
107.88186400000001	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.528	stim	s471
109.985	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
110.490864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.49	stim	s471
112.594	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
113.100864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.565	stim	s471
115.205	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
115.709728	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.478	stim	s471
117.814	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
118.319864	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.43	stim	s471
120.423	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
120.92859200000001	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.676	stim	s471
123.032	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
123.538	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.566	stim	s471
125.641	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
126.145864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.497	stim	s471
128.249	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
128.755	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.412	stim	s471
130.857	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
131.362864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.569	stim	s471
133.467	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
133.971048	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.391	stim	s471
136.075	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
136.581728	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.444	stim	s471
138.686	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
139.190864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.452	stim	s471
141.296	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
141.801	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.552	stim	s471
143.905	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
144.409864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.508	stim	s471
146.514	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
147.019	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.458	stim	s471
149.123	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
149.626864	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.486	stim	s471
151.731	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
152.235728	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.436	stim	s471
154.339	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
154.844728	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.444	stim	s471
156.948	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
157.452864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.668	stim	s471
159.557	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
160.064	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.688	stim	s471
162.168	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
162.672864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.538	stim	s471
164.776	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
165.281	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.374	stim	s471
167.385	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
167.889728	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.455	stim	s471
180.503	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
181.01	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.629	stim	s471
183.113	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
183.619	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.563	stim	s471
185.723	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
186.226864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.616	stim	s471
188.329	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
188.834728	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.446	stim	s471
190.939	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
191.443592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.522	stim	s471
193.548	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
194.053	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.491	stim	s471
196.157	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
196.661864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.498	stim	s471
198.766	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
199.270864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.361	stim	s471
201.375	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
201.88	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.279	stim	s471
203.983	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
204.487592	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.658	stim	s471
206.592	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
207.097456	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.454	stim	s471
209.201	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
209.706864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.565	stim	s471
211.81	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
212.314864	1.7	0.0	89.0	n/a	attention_network_task	up	left	congruent	71	0.391	stim	s471
214.419	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s471
214.923	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.653	stim	s471
217.027	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
217.534	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.571	stim	s471
219.638	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
220.142864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.533	stim	s471
222.247	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
222.752	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.453	stim	s471
224.855	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
225.360864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.448	stim	s471
227.464	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s471
227.97	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.565	stim	s471
