onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.013	0.85	0.3	71.0	stop_signal	71.0	0.666	False	go	s604
5.403	0.85	0.3	71.0	stop_signal	71.0	0.578	False	go	s604
7.927	0.85	0.3	71.0	stop_signal	71.0	0.43	False	stop_failure	s604
10.861	0.85	0.25	71.0	stop_signal	71.0	0.622	False	go	s604
13.389	0.85	0.25	71.0	stop_signal	71.0	0.735	False	go	s604
15.917	0.85	0.25	89.0	stop_signal	89.0	0.677	False	go	s604
18.17	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s604
20.693	0.85	0.3	89.0	stop_signal	89.0	0.593	False	go	s604
23.085	0.85	0.3	71.0	stop_signal	71.0	0.617	False	go	s604
25.338	0.85	0.3	89.0	stop_signal	89.0	0.539	False	go	s604
27.73	0.85	0.3	71.0	stop_signal	71.0	0.717	False	go	s604
29.984	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s604
32.373	0.85	0.35	89.0	stop_signal	89.0	0.539	False	go	s604
34.898	0.85	0.35	89.0	stop_signal	-1.0	n/a	True	stop_success	s604
37.151	0.85	0.4	89.0	stop_signal	89.0	0.581	False	stop_failure	s604
39.541	0.85	0.35	71.0	stop_signal	71.0	0.656	False	go	s604
42.205	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s604
44.458	0.85	0.4	89.0	stop_signal	89.0	0.736	False	go	s604
47.663	0.85	0.4	71.0	stop_signal	71.0	0.73	False	go	s604
50.056	0.85	0.4	71.0	stop_signal	71.0	0.67	False	go	s604
52.445	0.85	0.4	89.0	stop_signal	89.0	0.549	False	stop_failure	s604
54.97	0.85	0.35	89.0	stop_signal	89.0	0.649	False	go	s604
57.224	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s604
59.48	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s604
61.733	0.85	0.45	89.0	stop_signal	89.0	0.758	False	go	s604
64.667	0.85	0.45	89.0	stop_signal	89.0	0.789	False	go	s604
67.191	0.85	0.45	71.0	stop_signal	71.0	0.917	False	go	s604
69.719	0.85	0.45	71.0	stop_signal	71.0	0.464	False	go	s604
71.975	0.85	0.45	89.0	stop_signal	89.0	0.65	False	stop_failure	s604
74.504	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s604
76.757	0.85	0.45	89.0	stop_signal	89.0	0.654	False	go	s604
79.148	0.85	0.45	89.0	stop_signal	-1.0	n/a	True	stop_success	s604
81.402	0.85	0.5	71.0	stop_signal	71.0	0.602	False	go	s604
84.063	0.85	0.5	89.0	stop_signal	89.0	0.789	False	go	s604
86.727	0.85	0.5	89.0	stop_signal	89.0	0.722	False	go	s604
88.983	0.85	0.5	89.0	stop_signal	89.0	0.789	False	go	s604
