onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-64.375	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	25.504	n/a	instructions	s589
3.014	2.757	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	2.757	1,0,0,2,3,0,0,0,0	to_hand	s589
5.773	0.388	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.388	1,0,0,2,3,0,0,0,0	to_board	s589
6.164	0.41	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.41	1,0,0,2,3,0,0,0,0	to_hand	s589
6.575	0.349	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.349	1,0,0,2,3,0,0,0,0	to_board	s589
6.926	0.537	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.537	1,0,0,2,3,0,0,0,0	to_hand	s589
7.464	0.325	0	UA_with_intermediate	1,2,0,3,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.325	1,0,0,2,3,0,0,0,0	to_board	s589
7.79	0.757	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	0.757	1,0,0,2,3,0,0,0,0	to_hand	s589
8.549	0.326	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.326	1,0,0,2,3,0,0,0,0	to_board	s589
8.88	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s589
11.382	3.595	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	3.595	1,2,0,3,0,0,0,0,0	to_hand	s589
14.978	0.568	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.568	1,2,0,3,0,0,0,0,0	to_board	s589
15.549	0.423	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.423	1,2,0,3,0,0,0,0,0	to_hand	s589
15.973	0.325	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.325	1,2,0,3,0,0,0,0,0	to_board	s589
16.299	0.454	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.454	1,2,0,3,0,0,0,0,0	to_hand	s589
16.755	0.443	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.443	1,2,0,3,0,0,0,0,0	to_board	s589
17.202	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	feedback	s589
18.202	1.1	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	ITI	s589
19.303	2.267	1	UA_without_intermediate	0,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	2.267	0,0,0,1,2,0,3,0,0	to_hand	s589
21.572	0.42	0	UA_without_intermediate	3,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.42	0,0,0,1,2,0,3,0,0	to_board	s589
21.995	1.718	0	UA_without_intermediate	3,0,0,1,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	1.718	0,0,0,1,2,0,3,0,0	to_hand	s589
23.713	0.847	0	UA_without_intermediate	3,0,0,1,0,0,2,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	0.847	0,0,0,1,2,0,3,0,0	to_board	s589
24.563	0.917	0	UA_without_intermediate	3,0,0,0,0,0,2,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	0.917	0,0,0,1,2,0,3,0,0	to_hand	s589
25.481	0.838	0	UA_without_intermediate	3,0,0,1,0,0,2,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	0.838	0,0,0,1,2,0,3,0,0	to_board	s589
26.321	0.525	0	UA_without_intermediate	3,0,0,1,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	0.525	0,0,0,1,2,0,3,0,0	to_hand	s589
26.847	0.197	0	UA_without_intermediate	3,2,0,1,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.197	0,0,0,1,2,0,3,0,0	to_board	s589
27.046	0.472	0	UA_without_intermediate	3,2,0,0,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	0.472	0,0,0,1,2,0,3,0,0	to_hand	s589
27.519	0.323	0	UA_without_intermediate	3,2,1,0,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.323	0,0,0,1,2,0,3,0,0	to_board	s589
27.848	1.0	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	feedback	s589
28.848	1.2	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	ITI	s589
