onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.515	0.85	0.4	89.0	stop_signal	89.0	0.588	False	stop_failure	s491
5.771	0.85	0.35	89.0	stop_signal	89.0	0.741	False	go	s491
8.432	0.85	0.35	71.0	stop_signal	71.0	0.636	False	go	s491
11.093	0.85	0.35	89.0	stop_signal	89.0	0.757	False	go	s491
13.348	0.85	0.35	71.0	stop_signal	71.0	0.618	False	go	s491
15.602	0.85	0.35	71.0	stop_signal	71.0	0.784	False	go	s491
17.991	0.85	0.35	89.0	stop_signal	71.0	0.543	False	stop_failure	s491
20.788	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s491
23.178	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s491
25.433	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s491
27.688	0.85	0.45	71.0	stop_signal	71.0	0.688	False	stop_failure	s491
29.944	0.85	0.4	89.0	stop_signal	89.0	0.808	False	go	s491
32.605	0.85	0.4	71.0	stop_signal	71.0	0.81	False	go	s491
35.267	0.85	0.4	89.0	stop_signal	89.0	0.786	False	go	s491
37.522	0.85	0.4	89.0	stop_signal	89.0	0.785	False	go	s491
40.048	0.85	0.4	71.0	stop_signal	71.0	0.666	False	go	s491
42.311	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
44.836	0.85	0.45	71.0	stop_signal	71.0	0.797	False	go	s491
47.362	0.85	0.45	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
49.889	0.85	0.5	89.0	stop_signal	89.0	0.702	False	stop_failure	s491
52.28	0.85	0.45	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
54.806	0.85	0.5	71.0	stop_signal	71.0	0.842	False	go	s491
57.331	0.85	0.5	71.0	stop_signal	71.0	0.95	False	go	s491
59.721	0.85	0.5	71.0	stop_signal	71.0	0.881	False	go	s491
61.977	0.85	0.5	71.0	stop_signal	71.0	0.717	False	go	s491
64.503	0.85	0.5	71.0	stop_signal	71.0	0.548	False	go	s491
67.301	0.85	0.5	71.0	stop_signal	71.0	0.613	False	stop_failure	s491
69.827	0.85	0.45	71.0	stop_signal	71.0	0.637	False	stop_failure	s491
72.216	0.85	0.4	71.0	stop_signal	71.0	0.894	False	go	s491
74.469	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
76.723	0.85	0.45	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
78.978	0.85	0.5	71.0	stop_signal	71.0	0.662	False	stop_failure	s491
81.232	0.85	0.45	71.0	stop_signal	71.0	0.839	False	go	s491
83.759	0.85	0.45	71.0	stop_signal	71.0	0.98	False	go	s491
86.014	0.85	0.45	71.0	stop_signal	71.0	0.506	False	stop_failure	s491
88.267	0.85	0.4	71.0	stop_signal	71.0	0.84	False	go	s491
90.52	0.85	0.4	89.0	stop_signal	89.0	0.944	False	go	s491
92.774	0.85	0.4	89.0	stop_signal	89.0	0.688	False	go	s491
95.163	0.85	0.4	89.0	stop_signal	89.0	0.932	False	go	s491
97.418	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
99.673	0.85	0.45	89.0	stop_signal	89.0	0.833	False	go	s491
112.936	0.85	0.45	71.0	stop_signal	71.0	0.702	False	stop_failure	s491
115.191	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s491
117.716	0.85	0.45	89.0	stop_signal	89.0	0.768	False	go	s491
