onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
643.551	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.797	blue	8.0	task_switch	magnitude	switch	s603	0
647.003	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.676	blue	3.0	task_switch	color	switch	s603	0
649.909	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	0.614	orange	4.0	cue_stay	color	stay	s603	0
652.153	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.272	blue	7.0	cue_switch	color	stay	s603	0
654.26	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	1.624	orange	8.0	cue_stay	color	stay	s603	0
657.574	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.89	orange	8.0	task_switch	magnitude	switch	s603	0
660.481	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	1.302	orange	2.0	cue_switch	magnitude	stay	s603	0
663.39	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.744	blue	1.0	cue_switch	magnitude	stay	s603	0
665.497	1.0	0.1	False	89.0	Orange-Blue	n/a	twobytwo	71.0	1.048	blue	4.0	task_switch	color	switch	s603	0
668.284	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.208	blue	8.0	task_switch	magnitude	switch	s603	0
671.465	1.0	0.9	False	71.0	Orange-Blue	n/a	twobytwo	89.0	1.046	orange	3.0	task_switch	color	switch	s603	0
