filename	notes
func/sub-s623_ses-2_task-stopSignal_run-1_sbref.nii.gz	participant came out of scanner to adjust glasses before this run
func/sub-s623_ses-2_task-ANT_run-1_bold.nii.gz	n/a
func/sub-s623_ses-2_task-rest_run-1_sbref.nii.gz	n/a
func/sub-s623_ses-2_task-twoByTwo_run-1_bold.nii.gz	n/a
func/sub-s623_ses-2_task-stopSignal_run-1_bold.nii.gz	after participant reentered scanner, task incomplete
func/sub-s623_ses-2_task-rest_run-1_bold.nii.gz	n/a
func/sub-s623_ses-2_task-twoByTwo_run-1_sbref.nii.gz	after participant reentered scanner
func/sub-s623_ses-2_task-WATT3_run-1_bold.nii.gz	n/a
fmap/sub-s623_ses-2_fieldmap.nii.gz	n/a
fmap/sub-s623_ses-2_magnitude.nii.gz	n/a
