onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.012	0.85	0.4	89.0	stop_signal	89.0	0.652	False	stop_failure	s598
6.084	0.85	0.35	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
8.34	0.85	0.4	71.0	stop_signal	71.0	0.656	False	go	s598
10.73	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
13.117	0.85	0.45	71.0	stop_signal	71.0	0.679	False	go	s598
15.642	0.85	0.45	89.0	stop_signal	89.0	0.744	False	go	s598
18.031	0.85	0.45	71.0	stop_signal	71.0	0.703	False	go	s598
20.423	0.85	0.45	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
23.221	0.85	0.5	89.0	stop_signal	89.0	0.658	False	go	s598
25.612	0.85	0.5	89.0	stop_signal	89.0	0.64	False	stop_failure	s598
27.863	0.85	0.45	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
30.388	0.85	0.5	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
32.779	0.85	0.55	89.0	stop_signal	89.0	0.981	False	go	s598
35.168	0.85	0.55	71.0	stop_signal	71.0	0.536	False	stop_failure	s598
37.423	0.85	0.5	89.0	stop_signal	89.0	0.431	False	go	s598
39.815	0.85	0.5	89.0	stop_signal	89.0	0.47	False	go	s598
42.071	0.85	0.5	71.0	stop_signal	71.0	0.611	False	stop_failure	s598
44.327	0.85	0.45	89.0	stop_signal	89.0	0.515	False	go	s598
46.579	0.85	0.45	89.0	stop_signal	89.0	0.489	False	go	s598
48.967	0.85	0.45	89.0	stop_signal	89.0	0.476	False	stop_failure	s598
51.223	0.85	0.4	71.0	stop_signal	71.0	0.513	False	stop_failure	s598
53.477	0.85	0.35	89.0	stop_signal	89.0	0.476	False	stop_failure	s598
55.866	0.85	0.3	71.0	stop_signal	71.0	0.502	False	stop_failure	s598
58.258	0.85	0.25	71.0	stop_signal	71.0	0.518	False	go	s598
60.514	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
63.039	0.85	0.3	71.0	stop_signal	71.0	0.511	False	go	s598
65.295	0.85	0.3	89.0	stop_signal	89.0	0.464	False	go	s598
67.687	0.85	0.3	71.0	stop_signal	71.0	0.485	False	go	s598
69.942	0.85	0.3	71.0	stop_signal	71.0	0.506	False	stop_failure	s598
72.196	0.85	0.25	71.0	stop_signal	71.0	0.561	False	go	s598
74.588	0.85	0.25	71.0	stop_signal	71.0	0.554	False	go	s598
77.114	0.85	0.25	89.0	stop_signal	89.0	0.511	False	go	s598
79.506	0.85	0.25	71.0	stop_signal	71.0	0.601	False	go	s598
82.031	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
84.967	0.85	0.3	71.0	stop_signal	71.0	0.533	False	go	s598
87.492	0.85	0.3	89.0	stop_signal	89.0	0.714	False	go	s598
90.018	0.85	0.3	89.0	stop_signal	89.0	0.545	False	go	s598
92.274	0.85	0.3	71.0	stop_signal	71.0	0.469	False	stop_failure	s598
94.799	0.85	0.25	71.0	stop_signal	71.0	0.442	False	go	s598
97.19	0.85	0.25	89.0	stop_signal	89.0	0.389	False	go	s598
99.444	0.85	0.25	89.0	stop_signal	89.0	0.52	False	go	s598
112.343	0.85	0.25	71.0	stop_signal	89.0	0.416	False	go	s598
114.595	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
116.983	0.85	0.3	71.0	stop_signal	71.0	0.549	False	go	s598
119.511	0.85	0.3	89.0	stop_signal	89.0	0.478	False	stop_failure	s598
121.763	0.85	0.25	71.0	stop_signal	71.0	0.462	False	stop_failure	s598
124.154	0.85	0.2	71.0	stop_signal	71.0	0.528	False	go	s598
126.818	0.85	0.2	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
129.071	0.85	0.25	71.0	stop_signal	71.0	0.48	False	go	s598
132.276	0.85	0.25	71.0	stop_signal	71.0	0.47	False	go	s598
134.668	0.85	0.25	89.0	stop_signal	89.0	0.528	False	go	s598
137.058	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
139.586	0.85	0.3	71.0	stop_signal	71.0	0.564	False	go	s598
141.839	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
144.092	0.85	0.35	71.0	stop_signal	71.0	0.506	False	stop_failure	s598
146.346	0.85	0.3	89.0	stop_signal	89.0	0.519	False	go	s598
149.282	0.85	0.3	89.0	stop_signal	89.0	0.669	False	go	s598
151.81	0.85	0.3	71.0	stop_signal	71.0	0.559	False	go	s598
154.335	0.85	0.3	89.0	stop_signal	89.0	0.537	False	go	s598
156.588	0.85	0.3	89.0	stop_signal	89.0	0.467	False	stop_failure	s598
159.116	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
161.37	0.85	0.3	89.0	stop_signal	89.0	0.757	False	go	s598
163.762	0.85	0.3	89.0	stop_signal	89.0	0.456	False	stop_failure	s598
166.014	0.85	0.25	89.0	stop_signal	89.0	0.516	False	go	s598
168.676	0.85	0.25	71.0	stop_signal	71.0	0.538	False	go	s598
171.337	0.85	0.25	89.0	stop_signal	89.0	0.592	False	go	s598
173.591	0.85	0.25	71.0	stop_signal	71.0	0.614	False	go	s598
175.844	0.85	0.25	89.0	stop_signal	89.0	0.632	False	go	s598
178.233	0.85	0.25	89.0	stop_signal	89.0	0.494	False	stop_failure	s598
181.028	0.85	0.2	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
183.416	0.85	0.25	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
185.671	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
187.927	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
190.18	0.85	0.4	71.0	stop_signal	71.0	0.588	False	go	s598
192.841	0.85	0.4	89.0	stop_signal	89.0	0.648	False	go	s598
195.5	0.85	0.4	89.0	stop_signal	89.0	0.748	False	go	s598
197.757	0.85	0.4	71.0	stop_signal	71.0	0.596	False	go	s598
200.284	0.85	0.4	89.0	stop_signal	89.0	0.653	False	go	s598
202.541	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s598
205.068	0.85	0.45	89.0	stop_signal	89.0	0.768	False	go	s598
207.592	0.85	0.45	71.0	stop_signal	-1.0	n/a	True	stop_success	s598
210.119	0.85	0.5	71.0	stop_signal	71.0	0.534	False	stop_failure	s598
