onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
4.419	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.671	orange	9.0	task_switch	color	switch	s609	1
6.664	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.672	blue	8.0	cue_stay	color	stay	s609	0
9.455	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	0.557	orange	3.0	cue_switch	color	stay	s609	0
12.105	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.717	orange	8.0	cue_switch	color	stay	s609	0
15.29	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.416	blue	1.0	cue_switch	color	stay	s609	0
17.666	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.655	blue	8.0	task_switch	magnitude	switch	s609	0
20.978	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.49	blue	9.0	cue_stay	magnitude	stay	s609	0
23.221	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.734	blue	3.0	task_switch	color	switch	s609	0
25.6	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.62	orange	3.0	cue_switch	color	stay	s609	0
27.709	1.0	0.1	False	89.0	Color	switch	twobytwo	71.0	0.958	orange	7.0	cue_switch	color	stay	s609	0
29.952	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	1.034	blue	2.0	cue_stay	color	stay	s609	0
32.327	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.626	orange	1.0	task_switch	magnitude	switch	s609	0
34.434	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.652	blue	8.0	task_switch	color	switch	s609	0
38.021	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.481	blue	4.0	cue_switch	color	stay	s609	0
40.128	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.651	orange	1.0	task_switch	magnitude	switch	s609	0
43.034	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.816	orange	4.0	cue_stay	magnitude	stay	s609	0
45.141	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.643	orange	1.0	task_switch	color	switch	s609	0
