onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.516	1.5	incongruent	1.0	82.0	stroop	82	0.996	green	blue	incongruent	s595
5.793	1.5	incongruent	1.0	89.0	stroop	89	0.929	red	green	incongruent	s595
7.798	1.5	congruent	1.0	89.0	stroop	89	0.726	red	red	congruent	s595
9.803	1.5	congruent	1.0	82.0	stroop	82	0.817	green	green	congruent	s595
11.805	1.5	incongruent	1.0	82.0	stroop	82	1.309	green	blue	incongruent	s595
13.807	1.5	congruent	1.0	89.0	stroop	89	0.791	red	red	congruent	s595
15.948	1.5	congruent	1.0	71.0	stroop	71	0.464	blue	blue	congruent	s595
17.953	1.5	incongruent	1.0	71.0	stroop	71	0.748	blue	red	incongruent	s595
19.956	1.5	congruent	1.0	71.0	stroop	71	1.012	blue	blue	congruent	s595
22.097	1.5	incongruent	1.0	82.0	stroop	82	0.907	green	red	incongruent	s595
24.103	1.5	incongruent	1.0	89.0	stroop	89	0.727	red	green	incongruent	s595
26.105	1.5	incongruent	1.0	89.0	stroop	89	0.964	red	green	incongruent	s595
28.244	1.5	congruent	1.0	71.0	stroop	71	0.809	blue	blue	congruent	s595
30.382	1.5	congruent	1.0	82.0	stroop	82	0.69	green	green	congruent	s595
32.658	1.5	incongruent	1.0	82.0	stroop	82	1.299	green	red	incongruent	s595
35.343	1.5	congruent	1.0	89.0	stroop	89	1.213	red	red	congruent	s595
37.346	1.5	congruent	1.0	82.0	stroop	82	1.367	green	green	congruent	s595
39.352	1.5	incongruent	1.0	71.0	stroop	71	0.892	blue	red	incongruent	s595
41.629	1.5	incongruent	1.0	89.0	stroop	89	0.716	red	blue	incongruent	s595
43.634	1.5	congruent	1.0	89.0	stroop	89	0.709	red	red	congruent	s595
45.635	1.5	incongruent	1.0	71.0	stroop	71	0.961	blue	green	incongruent	s595
47.638	1.5	incongruent	1.0	82.0	stroop	82	0.718	green	red	incongruent	s595
49.64	1.5	incongruent	1.0	89.0	stroop	89	0.73	red	green	incongruent	s595
51.645	1.5	incongruent	1.0	89.0	stroop	89	0.627	red	blue	incongruent	s595
53.651	1.5	congruent	1.0	71.0	stroop	71	0.8	blue	blue	congruent	s595
55.928	1.5	incongruent	1.0	71.0	stroop	71	0.457	blue	red	incongruent	s595
57.931	1.5	congruent	1.0	71.0	stroop	71	0.432	blue	blue	congruent	s595
60.344	1.5	congruent	1.0	82.0	stroop	82	0.414	green	green	congruent	s595
62.347	1.5	congruent	1.0	71.0	stroop	71	0.65	blue	blue	congruent	s595
64.488	1.5	congruent	1.0	82.0	stroop	82	0.537	green	green	congruent	s595
66.489	1.5	congruent	1.0	89.0	stroop	89	0.748	red	red	congruent	s595
68.494	1.5	incongruent	1.0	89.0	stroop	89	0.961	red	blue	incongruent	s595
70.495	1.5	congruent	1.0	89.0	stroop	89	0.781	red	red	congruent	s595
72.772	1.5	incongruent	1.0	89.0	stroop	89	0.656	red	blue	incongruent	s595
74.777	1.5	incongruent	1.0	71.0	stroop	71	0.586	blue	green	incongruent	s595
77.054	1.5	incongruent	1.0	89.0	stroop	89	0.925	red	green	incongruent	s595
79.331	1.5	incongruent	1.0	71.0	stroop	71	0.961	blue	red	incongruent	s595
81.334	1.5	congruent	1.0	82.0	stroop	82	0.904	green	green	congruent	s595
84.016	1.5	incongruent	1.0	71.0	stroop	71	0.98	blue	green	incongruent	s595
86.02	1.5	congruent	1.0	82.0	stroop	82	1.282	green	green	congruent	s595
88.298	1.5	congruent	1.0	89.0	stroop	89	0.656	red	red	congruent	s595
90.303	1.5	congruent	1.0	71.0	stroop	71	0.433	blue	blue	congruent	s595
92.307	1.5	incongruent	1.0	82.0	stroop	82	1.025	green	red	incongruent	s595
94.583	1.5	congruent	1.0	82.0	stroop	82	0.657	green	green	congruent	s595
96.725	1.5	congruent	1.0	82.0	stroop	82	0.47	green	green	congruent	s595
99.271	1.5	incongruent	1.0	82.0	stroop	82	0.532	green	red	incongruent	s595
101.685	1.5	incongruent	1.0	82.0	stroop	82	0.526	green	red	incongruent	s595
103.69	1.5	incongruent	1.0	89.0	stroop	89	0.657	red	green	incongruent	s595
105.692	1.5	incongruent	1.0	71.0	stroop	71	1.054	blue	green	incongruent	s595
107.696	1.5	congruent	1.0	71.0	stroop	71	0.515	blue	blue	congruent	s595
110.242	1.5	congruent	1.0	89.0	stroop	89	0.439	red	red	congruent	s595
112.384	1.5	congruent	1.0	82.0	stroop	82	0.69	green	green	congruent	s595
114.389	1.5	congruent	1.0	89.0	stroop	89	0.662	red	red	congruent	s595
116.394	1.5	congruent	1.0	89.0	stroop	89	0.542	red	red	congruent	s595
118.672	1.5	incongruent	1.0	82.0	stroop	82	1.44	green	blue	incongruent	s595
120.677	1.5	congruent	1.0	89.0	stroop	89	0.665	red	red	congruent	s595
122.68	1.5	incongruent	1.0	82.0	stroop	82	1.01	green	blue	incongruent	s595
124.817	1.5	incongruent	1.0	82.0	stroop	82	0.904	green	red	incongruent	s595
126.821	1.5	incongruent	1.0	82.0	stroop	82	0.758	green	red	incongruent	s595
129.097	1.5	congruent	1.0	71.0	stroop	71	0.788	blue	blue	congruent	s595
131.235	1.5	incongruent	1.0	71.0	stroop	71	0.544	blue	green	incongruent	s595
133.648	1.5	congruent	1.0	82.0	stroop	82	0.702	green	green	congruent	s595
135.65	1.5	congruent	1.0	71.0	stroop	71	0.723	blue	blue	congruent	s595
137.654	1.5	incongruent	1.0	71.0	stroop	71	0.473	blue	red	incongruent	s595
140.472	1.5	incongruent	1.0	89.0	stroop	89	0.873	red	green	incongruent	s595
142.476	1.5	incongruent	1.0	89.0	stroop	89	0.523	red	blue	incongruent	s595
144.478	1.5	congruent	1.0	82.0	stroop	82	0.6	green	green	congruent	s595
146.62	1.5	congruent	1.0	71.0	stroop	71	0.675	blue	blue	congruent	s595
148.625	1.5	incongruent	1.0	82.0	stroop	82	1.25	green	blue	incongruent	s595
150.631	1.5	congruent	1.0	89.0	stroop	89	0.624	red	red	congruent	s595
152.636	1.5	incongruent	1.0	89.0	stroop	89	1.24	red	green	incongruent	s595
154.641	1.5	congruent	1.0	82.0	stroop	82	0.713	green	green	congruent	s595
156.647	1.5	incongruent	1.0	82.0	stroop	82	0.815	green	blue	incongruent	s595
158.652	1.5	congruent	1.0	71.0	stroop	71	0.45	blue	blue	congruent	s595
160.658	1.5	incongruent	1.0	71.0	stroop	71	0.474	blue	red	incongruent	s595
162.935	1.5	incongruent	1.0	89.0	stroop	89	0.73	red	blue	incongruent	s595
164.938	1.5	congruent	1.0	89.0	stroop	89	0.393	red	red	congruent	s595
167.079	1.5	congruent	1.0	71.0	stroop	71	0.651	blue	blue	congruent	s595
169.082	1.5	congruent	1.0	89.0	stroop	89	0.78	red	red	congruent	s595
171.224	1.5	congruent	1.0	82.0	stroop	82	0.45	green	green	congruent	s595
173.229	1.5	congruent	1.0	71.0	stroop	71	1.028	blue	blue	congruent	s595
175.234	1.5	incongruent	1.0	82.0	stroop	82	0.914	green	blue	incongruent	s595
177.24	1.5	incongruent	1.0	71.0	stroop	71	0.724	blue	red	incongruent	s595
179.517	1.5	incongruent	1.0	89.0	stroop	89	0.765	red	blue	incongruent	s595
181.52	1.5	incongruent	1.0	71.0	stroop	71	0.714	blue	green	incongruent	s595
183.659	1.5	congruent	1.0	89.0	stroop	89	0.949	red	red	congruent	s595
186.069	1.5	incongruent	1.0	71.0	stroop	71	0.827	blue	red	incongruent	s595
188.342	1.5	congruent	1.0	71.0	stroop	71	0.645	blue	blue	congruent	s595
191.028	1.5	congruent	1.0	82.0	stroop	82	0.816	green	green	congruent	s595
193.035	1.5	congruent	1.0	89.0	stroop	89	0.721	red	red	congruent	s595
195.446	1.5	congruent	1.0	82.0	stroop	82	0.704	green	green	congruent	s595
197.585	1.5	incongruent	1.0	71.0	stroop	71	0.886	blue	green	incongruent	s595
200.27	1.5	incongruent	1.0	71.0	stroop	71	0.524	blue	green	incongruent	s595
202.273	1.5	incongruent	1.0	82.0	stroop	82	0.82	green	blue	incongruent	s595
204.412	1.5	congruent	1.0	71.0	stroop	71	0.887	blue	blue	congruent	s595
207.368	1.5	incongruent	1.0	89.0	stroop	89	0.728	red	blue	incongruent	s595
