onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.516	1.5	incongruent	1.0	82.0	stroop	82	0.967	green	red	incongruent	s611
5.519	1.5	congruent	1.0	89.0	stroop	89	0.502	red	red	congruent	s611
7.524	1.5	incongruent	1.0	89.0	stroop	89	0.533	red	green	incongruent	s611
9.801	1.5	incongruent	0.0	82.0	stroop	89	0.62	green	red	incongruent	s611
11.803	1.5	congruent	1.0	89.0	stroop	89	0.507	red	red	congruent	s611
13.944	1.5	congruent	1.0	89.0	stroop	89	0.638	red	red	congruent	s611
15.947	1.5	congruent	1.0	71.0	stroop	71	0.444	blue	blue	congruent	s611
18.088	1.5	congruent	1.0	71.0	stroop	71	0.419	blue	blue	congruent	s611
20.094	1.5	congruent	1.0	89.0	stroop	89	0.677	red	red	congruent	s611
22.1	1.5	incongruent	1.0	89.0	stroop	89	0.855	red	green	incongruent	s611
24.105	1.5	incongruent	1.0	89.0	stroop	89	0.699	red	green	incongruent	s611
26.383	1.5	incongruent	1.0	89.0	stroop	89	0.538	red	green	incongruent	s611
28.385	1.5	incongruent	1.0	71.0	stroop	71	0.693	blue	red	incongruent	s611
30.523	1.5	congruent	1.0	82.0	stroop	82	0.483	green	green	congruent	s611
32.933	1.5	incongruent	1.0	89.0	stroop	89	0.583	red	blue	incongruent	s611
35.207	1.5	congruent	1.0	71.0	stroop	71	0.43	blue	blue	congruent	s611
37.892	1.5	congruent	1.0	82.0	stroop	82	0.463	green	green	congruent	s611
39.896	1.5	congruent	1.0	82.0	stroop	82	0.608	green	green	congruent	s611
42.306	1.5	congruent	1.0	82.0	stroop	82	0.42	green	green	congruent	s611
44.444	1.5	incongruent	1.0	82.0	stroop	82	0.45	green	red	incongruent	s611
47.13	1.5	incongruent	1.0	71.0	stroop	71	0.664	blue	red	incongruent	s611
49.132	1.5	incongruent	1.0	89.0	stroop	89	0.595	red	blue	incongruent	s611
51.272	1.5	congruent	1.0	89.0	stroop	89	0.394	red	red	congruent	s611
54.229	1.5	incongruent	1.0	82.0	stroop	82	0.782	green	blue	incongruent	s611
56.23	1.5	incongruent	1.0	71.0	stroop	71	0.7	blue	green	incongruent	s611
58.507	1.5	incongruent	0.0	82.0	stroop	89	0.654	green	blue	incongruent	s611
60.511	1.5	congruent	1.0	82.0	stroop	82	0.833	green	green	congruent	s611
62.517	1.5	congruent	1.0	71.0	stroop	71	0.878	blue	blue	congruent	s611
64.519	1.5	incongruent	1.0	82.0	stroop	82	0.971	green	blue	incongruent	s611
66.521	1.5	congruent	1.0	89.0	stroop	89	0.661	red	red	congruent	s611
68.661	1.5	congruent	1.0	89.0	stroop	89	0.472	red	red	congruent	s611
70.667	1.5	incongruent	1.0	89.0	stroop	89	0.597	red	blue	incongruent	s611
72.668	1.5	congruent	1.0	71.0	stroop	71	0.555	blue	blue	congruent	s611
74.807	1.5	incongruent	1.0	89.0	stroop	89	1.008	red	green	incongruent	s611
76.812	1.5	incongruent	1.0	71.0	stroop	71	0.699	blue	green	incongruent	s611
78.815	1.5	incongruent	1.0	82.0	stroop	82	0.739	green	red	incongruent	s611
80.953	1.5	congruent	1.0	82.0	stroop	82	0.57	green	green	congruent	s611
83.094	1.5	congruent	1.0	89.0	stroop	89	0.689	red	red	congruent	s611
85.368	1.5	incongruent	1.0	89.0	stroop	89	0.879	red	blue	incongruent	s611
88.055	1.5	congruent	1.0	89.0	stroop	89	0.598	red	red	congruent	s611
90.06	1.5	congruent	1.0	82.0	stroop	82	0.706	green	green	congruent	s611
92.065	1.5	incongruent	1.0	82.0	stroop	82	0.734	green	blue	incongruent	s611
94.343	1.5	incongruent	1.0	89.0	stroop	89	0.631	red	blue	incongruent	s611
96.348	1.5	congruent	1.0	71.0	stroop	71	0.426	blue	blue	congruent	s611
98.351	1.5	incongruent	1.0	71.0	stroop	71	0.843	blue	green	incongruent	s611
100.352	1.5	incongruent	1.0	82.0	stroop	82	0.891	green	red	incongruent	s611
102.354	1.5	incongruent	1.0	82.0	stroop	82	0.68	green	red	incongruent	s611
104.359	1.5	incongruent	1.0	82.0	stroop	82	0.785	green	blue	incongruent	s611
106.365	1.5	congruent	1.0	82.0	stroop	82	0.477	green	green	congruent	s611
108.642	1.5	incongruent	1.0	71.0	stroop	71	0.712	blue	red	incongruent	s611
110.645	1.5	congruent	1.0	89.0	stroop	89	0.408	red	red	congruent	s611
113.058	1.5	congruent	1.0	89.0	stroop	89	0.405	red	red	congruent	s611
115.06	1.5	congruent	1.0	82.0	stroop	82	0.624	green	green	congruent	s611
117.197	1.5	congruent	1.0	71.0	stroop	71	0.408	blue	blue	congruent	s611
119.203	1.5	congruent	1.0	89.0	stroop	89	0.393	red	red	congruent	s611
121.208	1.5	incongruent	1.0	89.0	stroop	89	0.545	red	blue	incongruent	s611
123.213	1.5	congruent	1.0	89.0	stroop	89	0.371	red	red	congruent	s611
125.488	1.5	incongruent	1.0	71.0	stroop	71	0.573	blue	red	incongruent	s611
127.491	1.5	incongruent	1.0	82.0	stroop	82	1.261	green	blue	incongruent	s611
129.768	1.5	incongruent	1.0	71.0	stroop	71	0.683	blue	red	incongruent	s611
132.046	1.5	incongruent	1.0	71.0	stroop	71	0.875	blue	red	incongruent	s611
134.048	1.5	congruent	1.0	71.0	stroop	71	0.575	blue	blue	congruent	s611
136.729	1.5	incongruent	1.0	71.0	stroop	71	0.543	blue	red	incongruent	s611
138.733	1.5	congruent	1.0	82.0	stroop	82	0.971	green	green	congruent	s611
141.011	1.5	congruent	1.0	71.0	stroop	71	0.588	blue	blue	congruent	s611
143.016	1.5	congruent	1.0	82.0	stroop	82	0.688	green	green	congruent	s611
145.022	1.5	incongruent	1.0	71.0	stroop	71	0.781	blue	green	incongruent	s611
147.297	1.5	congruent	1.0	82.0	stroop	82	0.524	green	green	congruent	s611
149.438	1.5	congruent	1.0	82.0	stroop	82	0.612	green	green	congruent	s611
151.985	1.5	incongruent	1.0	71.0	stroop	71	0.502	blue	red	incongruent	s611
154.398	1.5	incongruent	1.0	71.0	stroop	71	0.519	blue	green	incongruent	s611
156.404	1.5	incongruent	1.0	82.0	stroop	82	0.95	green	red	incongruent	s611
158.409	1.5	incongruent	1.0	71.0	stroop	71	0.936	blue	green	incongruent	s611
160.411	1.5	congruent	1.0	71.0	stroop	71	0.473	blue	blue	congruent	s611
162.957	1.5	congruent	1.0	71.0	stroop	71	0.641	blue	blue	congruent	s611
165.097	1.5	congruent	1.0	82.0	stroop	82	0.602	green	green	congruent	s611
167.098	1.5	congruent	1.0	89.0	stroop	89	0.572	red	red	congruent	s611
169.099	1.5	congruent	1.0	89.0	stroop	89	0.517	red	red	congruent	s611
171.375	1.5	incongruent	1.0	71.0	stroop	71	0.884	blue	green	incongruent	s611
173.38	1.5	congruent	1.0	89.0	stroop	89	0.68	red	red	congruent	s611
175.383	1.5	incongruent	1.0	89.0	stroop	89	0.622	red	green	incongruent	s611
177.521	1.5	incongruent	1.0	82.0	stroop	82	1.131	green	blue	incongruent	s611
