onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
235.958	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
236.47	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.81	stim	s643
238.576	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
239.088864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.61	stim	s643
241.194	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
241.704	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.773	stim	s643
243.81	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
244.32386400000001	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.676	stim	s643
246.429	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
246.940728	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.583	stim	s643
249.047	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
249.558728	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.609	stim	s643
251.665	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
252.176864	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.558	stim	s643
254.278	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
254.789	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.618	stim	s643
256.894	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
257.404864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.696	stim	s643
259.511	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
260.023	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.926	stim	s643
262.13	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
262.641728	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.692	stim	s643
264.748	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
265.261	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.538	stim	s643
267.366	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
267.876	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.61	stim	s643
269.982	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
270.493864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.645	stim	s643
