onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
221.005	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.684	89.0	False	crit_go	s604
223.361	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.428	89.0	False	noncrit_nosignal	s604
225.614	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.431	89.0	False	noncrit_nosignal	s604
227.968	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.412	89.0	False	noncrit_nosignal	s604
230.319	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.503	89.0	False	noncrit_nosignal	s604
232.575	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.447	89.0	False	noncrit_signal	s604
235.426	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.352	89.0	False	noncrit_nosignal	s604
237.78	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.695	89.0	False	crit_go	s604
240.035	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.491	89.0	False	noncrit_nosignal	s604
242.388	0.85	0.15	89.0	motor_selective_stop_signal	71.0	0.456	89.0	False	crit_go	s604
244.845	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.352	89.0	False	crit_stop_failure	s604
247.099	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.773	89.0	False	noncrit_signal	s604
249.35	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.329	89.0	False	noncrit_nosignal	s604
252.106	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.621	89.0	False	noncrit_signal	s604
264.973	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.427	89.0	False	crit_go	s604
267.725	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.357	89.0	False	noncrit_nosignal	s604
270.182	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.628	89.0	False	crit_go	s604
272.438	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.515	89.0	False	crit_stop_failure	s604
274.792	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.437	89.0	False	noncrit_nosignal	s604
277.448	0.85	0.05	89.0	motor_selective_stop_signal	71.0	0.245	89.0	False	crit_stop_failure	s604
279.904	0.85	0.0	71.0	motor_selective_stop_signal	71.0	0.419	89.0	False	noncrit_nosignal	s604
282.159	0.85	0.0	71.0	motor_selective_stop_signal	71.0	0.525	89.0	False	noncrit_signal	s604
284.516	0.85	0.0	71.0	motor_selective_stop_signal	71.0	0.351	89.0	False	noncrit_signal	s604
287.472	0.85	0.0	89.0	motor_selective_stop_signal	89.0	0.656	89.0	False	crit_go	s604
289.728	0.85	0.0	71.0	motor_selective_stop_signal	71.0	0.55	89.0	False	noncrit_nosignal	s604
292.68	0.85	0.0	71.0	motor_selective_stop_signal	71.0	0.59	89.0	False	noncrit_signal	s604
295.136	0.85	0.0	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
297.392	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.463	89.0	False	noncrit_nosignal	s604
299.745	0.85	0.05	71.0	motor_selective_stop_signal	71.0	0.676	89.0	False	noncrit_nosignal	s604
302.198	0.85	0.05	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
304.451	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.5	89.0	False	noncrit_signal	s604
306.902	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.453	89.0	False	noncrit_nosignal	s604
309.656	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.343	89.0	False	noncrit_signal	s604
311.91	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.381	89.0	False	noncrit_nosignal	s604
314.267	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.445	89.0	False	noncrit_signal	s604
316.723	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.731	89.0	False	crit_go	s604
319.079	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.389	89.0	False	noncrit_signal	s604
