onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.008	0.85	0.3	71.0	stop_signal	71.0	0.593	False	stop_failure	s172
6.076	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
8.328	0.85	0.3	71.0	stop_signal	71.0	0.63	False	go	s172
10.717	0.85	0.3	71.0	stop_signal	71.0	0.625	False	stop_failure	s172
13.104	0.85	0.25	89.0	stop_signal	89.0	0.621	False	go	s172
15.629	0.85	0.25	89.0	stop_signal	89.0	0.64	False	go	s172
18.017	0.85	0.25	89.0	stop_signal	89.0	0.571	False	go	s172
20.406	0.85	0.25	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
23.202	0.85	0.3	89.0	stop_signal	89.0	0.477	False	go	s172
25.59	0.85	0.3	89.0	stop_signal	-1.0	n/a	True	stop_success	s172
27.842	0.85	0.35	89.0	stop_signal	89.0	0.632	False	stop_failure	s172
30.366	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
32.754	0.85	0.35	89.0	stop_signal	89.0	0.593	False	go	s172
35.142	0.85	0.35	89.0	stop_signal	-1.0	n/a	True	stop_success	s172
37.394	0.85	0.4	89.0	stop_signal	89.0	0.614	False	go	s172
39.782	0.85	0.4	89.0	stop_signal	89.0	0.773	False	go	s172
42.034	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s172
44.287	0.85	0.45	71.0	stop_signal	71.0	0.672	False	go	s172
46.539	0.85	0.45	71.0	stop_signal	71.0	0.687	False	go	s172
48.926	0.85	0.45	89.0	stop_signal	89.0	0.54	False	stop_failure	s172
51.179	0.85	0.4	89.0	stop_signal	89.0	0.605	False	stop_failure	s172
53.432	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
55.82	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
58.209	0.85	0.45	71.0	stop_signal	71.0	0.647	False	go	s172
60.46	0.85	0.45	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
62.984	0.85	0.5	89.0	stop_signal	89.0	0.515	False	go	s172
65.236	0.85	0.5	71.0	stop_signal	71.0	0.968	False	go	s172
67.625	0.85	0.5	71.0	stop_signal	71.0	0.493	False	go	s172
69.877	0.85	0.5	71.0	stop_signal	71.0	0.607	False	stop_failure	s172
72.13	0.85	0.45	71.0	stop_signal	89.0	0.596	False	go	s172
74.519	0.85	0.45	89.0	stop_signal	89.0	0.585	False	go	s172
77.043	0.85	0.45	71.0	stop_signal	71.0	0.54	False	go	s172
79.431	0.85	0.45	89.0	stop_signal	89.0	0.669	False	go	s172
81.955	0.85	0.45	71.0	stop_signal	71.0	0.573	False	stop_failure	s172
84.888	0.85	0.4	89.0	stop_signal	89.0	0.551	False	go	s172
87.412	0.85	0.4	89.0	stop_signal	89.0	0.656	False	go	s172
89.936	0.85	0.4	71.0	stop_signal	71.0	0.735	False	go	s172
92.189	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
94.714	0.85	0.45	89.0	stop_signal	89.0	0.624	False	go	s172
97.102	0.85	0.45	89.0	stop_signal	89.0	0.604	False	go	s172
99.354	0.85	0.45	71.0	stop_signal	71.0	0.558	False	go	s172
112.249	0.85	0.45	71.0	stop_signal	71.0	0.494	False	go	s172
114.501	0.85	0.45	89.0	stop_signal	89.0	0.655	False	stop_failure	s172
116.889	0.85	0.4	89.0	stop_signal	89.0	0.501	False	go	s172
119.413	0.85	0.4	71.0	stop_signal	71.0	0.487	False	stop_failure	s172
121.665	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s172
124.053	0.85	0.4	89.0	stop_signal	89.0	0.456	False	go	s172
126.713	0.85	0.4	89.0	stop_signal	89.0	0.505	False	stop_failure	s172
