onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
541.733	4.0	smaller_sooner	discount_fixed	71	27.0	130.0	0.953	20.0	smaller_sooner	s541
546.306	4.0	smaller_sooner	discount_fixed	71	23.0	134.0	1.029	20.0	smaller_sooner	s541
551.15	4.0	smaller_sooner	discount_fixed	71	55.0	107.0	1.25	20.0	smaller_sooner	s541
555.653	4.0	smaller_sooner	discount_fixed	71	44.0	143.0	1.129	20.0	smaller_sooner	s541
561.313	4.0	smaller_sooner	discount_fixed	71	23.0	110.0	1.013	20.0	smaller_sooner	s541
566.225	4.0	smaller_sooner	discount_fixed	71	65.0	156.0	1.123	20.0	smaller_sooner	s541
570.863	4.0	smaller_sooner	discount_fixed	71	22.0	27.0	1.308	20.0	smaller_sooner	s541
575.364	4.0	larger_later	discount_fixed	89	50.0	59.0	2.336	20.0	larger_later	s541
579.867	4.0	smaller_sooner	discount_fixed	71	85.0	129.0	3.32	20.0	smaller_sooner	s541
584.981	4.0	larger_later	discount_fixed	89	66.0	58.0	2.948	20.0	larger_later	s541
591.115	4.0	smaller_sooner	discount_fixed	71	49.0	172.0	1.107	20.0	smaller_sooner	s541
595.96	4.0	smaller_sooner	discount_fixed	71	73.0	44.0	1.521	20.0	smaller_sooner	s541
600.532	4.0	smaller_sooner	discount_fixed	71	58.0	73.0	1.893	20.0	smaller_sooner	s541
605.237	4.0	larger_later	discount_fixed	89	71.0	76.0	1.229	20.0	larger_later	s541
