onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
3.008	4.0	larger_later	discount_fixed	89	79.0	92.0	1.152	20.0	larger_later	s555
7.647	4.0	larger_later	discount_fixed	89	61.0	141.0	1.995	20.0	larger_later	s555
12.217	4.0	larger_later	discount_fixed	89	43.0	38.0	2.058	20.0	larger_later	s555
16.787	4.0	larger_later	discount_fixed	89	66.0	145.0	2.332	20.0	larger_later	s555
21.697	4.0	larger_later	discount_fixed	89	30.0	23.0	1.744	20.0	larger_later	s555
26.539	4.0	larger_later	discount_fixed	89	32.0	57.0	1.831	20.0	larger_later	s555
31.789	4.0	smaller_sooner	discount_fixed	71	27.0	91.0	2.33	20.0	smaller_sooner	s555
36.564	4.0	larger_later	discount_fixed	89	43.0	120.0	2.009	20.0	larger_later	s555
42.561	4.0	larger_later	discount_fixed	89	75.0	60.0	1.604	20.0	larger_later	s555
48.152	4.0	smaller_sooner	discount_fixed	71	34.0	176.0	2.964	20.0	smaller_sooner	s555
52.722	4.0	smaller_sooner	discount_fixed	71	24.0	38.0	2.433	20.0	smaller_sooner	s555
57.836	4.0	larger_later	discount_fixed	89	82.0	74.0	1.532	20.0	larger_later	s555
63.495	4.0	larger_later	discount_fixed	89	58.0	53.0	1.27	20.0	larger_later	s555
68.066	4.0	larger_later	discount_fixed	89	54.0	23.0	1.096	20.0	larger_later	s555
72.84	4.0	larger_later	discount_fixed	89	41.0	55.0	1.761	20.0	larger_later	s555
77.886	4.0	larger_later	discount_fixed	89	77.0	142.0	1.496	20.0	larger_later	s555
82.728	4.0	smaller_sooner	discount_fixed	71	25.0	108.0	2.305	20.0	smaller_sooner	s555
87.91	4.0	smaller_sooner	discount_fixed	71	33.0	163.0	2.517	20.0	smaller_sooner	s555
92.956	4.0	larger_later	discount_fixed	89	29.0	75.0	2.216	20.0	larger_later	s555
97.934	4.0	larger_later	discount_fixed	89	45.0	157.0	2.316	20.0	larger_later	s555
102.913	4.0	larger_later	discount_fixed	89	31.0	74.0	1.92	20.0	larger_later	s555
108.231	4.0	larger_later	discount_fixed	89	80.0	39.0	1.306	20.0	larger_later	s555
112.733	4.0	larger_later	discount_fixed	89	22.0	21.0	1.81	20.0	larger_later	s555
117.779	4.0	larger_later	discount_fixed	89	52.0	139.0	2.015	20.0	larger_later	s555
122.484	4.0	larger_later	discount_fixed	89	54.0	126.0	1.488	20.0	larger_later	s555
127.326	4.0	smaller_sooner	discount_fixed	71	23.0	176.0	1.346	20.0	smaller_sooner	s555
134.073	4.0	smaller_sooner	discount_fixed	71	24.0	87.0	2.04	20.0	smaller_sooner	s555
138.576	4.0	larger_later	discount_fixed	89	36.0	140.0	1.562	20.0	larger_later	s555
143.147	4.0	larger_later	discount_fixed	89	35.0	171.0	1.76	20.0	larger_later	s555
147.853	4.0	larger_later	discount_fixed	89	34.0	43.0	1.543	20.0	larger_later	s555
152.763	4.0	larger_later	discount_fixed	89	74.0	121.0	1.238	20.0	larger_later	s555
157.334	4.0	larger_later	discount_fixed	89	45.0	107.0	1.126	20.0	larger_later	s555
162.108	4.0	larger_later	discount_fixed	89	77.0	24.0	1.058	20.0	larger_later	s555
166.746	4.0	larger_later	discount_fixed	89	39.0	161.0	1.654	20.0	larger_later	s555
171.316	4.0	larger_later	discount_fixed	89	62.0	180.0	1.678	20.0	larger_later	s555
176.77	4.0	smaller_sooner	discount_fixed	71	24.0	139.0	1.464	20.0	smaller_sooner	s555
182.157	4.0	larger_later	discount_fixed	89	58.0	72.0	1.024	20.0	larger_later	s555
186.727	4.0	larger_later	discount_fixed	89	56.0	93.0	1.416	20.0	larger_later	s555
192.998	4.0	larger_later	discount_fixed	89	45.0	26.0	1.468	20.0	larger_later	s555
198.52	4.0	smaller_sooner	discount_fixed	71	23.0	42.0	1.353	20.0	smaller_sooner	s555
203.091	4.0	larger_later	discount_fixed	89	50.0	41.0	1.106	20.0	larger_later	s555
207.73	4.0	smaller_sooner	discount_fixed	71	25.0	176.0	1.867	20.0	smaller_sooner	s555
212.368	4.0	larger_later	discount_fixed	89	54.0	22.0	1.097	20.0	larger_later	s555
217.484	4.0	larger_later	discount_fixed	89	29.0	44.0	1.622	20.0	larger_later	s555
222.802	4.0	smaller_sooner	discount_fixed	71	24.0	89.0	1.879	20.0	smaller_sooner	s555
227.373	4.0	smaller_sooner	discount_fixed	71	23.0	77.0	1.661	20.0	smaller_sooner	s555
231.944	4.0	smaller_sooner	discount_fixed	71	27.0	130.0	2.062	20.0	smaller_sooner	s555
236.514	4.0	smaller_sooner	discount_fixed	71	23.0	134.0	1.502	20.0	smaller_sooner	s555
241.357	4.0	larger_later	discount_fixed	89	55.0	107.0	0.936	20.0	larger_later	s555
245.858	4.0	larger_later	discount_fixed	89	44.0	143.0	1.461	20.0	larger_later	s555
251.516	4.0	smaller_sooner	discount_fixed	71	23.0	110.0	1.368	20.0	smaller_sooner	s555
256.426	4.0	larger_later	discount_fixed	89	65.0	156.0	0.983	20.0	larger_later	s555
261.065	4.0	smaller_sooner	discount_fixed	71	22.0	27.0	1.425	20.0	smaller_sooner	s555
265.568	4.0	larger_later	discount_fixed	89	50.0	59.0	1.03	20.0	larger_later	s555
270.07	4.0	larger_later	discount_fixed	89	85.0	129.0	1.002	20.0	larger_later	s555
275.184	4.0	larger_later	discount_fixed	89	66.0	58.0	1.065	20.0	larger_later	s555
281.318	4.0	larger_later	discount_fixed	89	49.0	172.0	1.369	20.0	larger_later	s555
286.161	4.0	larger_later	discount_fixed	89	73.0	44.0	0.911	20.0	larger_later	s555
290.731	4.0	larger_later	discount_fixed	89	58.0	73.0	1.045	20.0	larger_later	s555
295.437	4.0	larger_later	discount_fixed	89	71.0	76.0	0.954	20.0	larger_later	s555
301.299	4.0	larger_later	discount_fixed	89	67.0	74.0	1.17	20.0	larger_later	s555
314.442	4.0	larger_later	discount_fixed	89	29.0	58.0	1.222	20.0	larger_later	s555
319.76	4.0	larger_later	discount_fixed	89	39.0	104.0	1.027	20.0	larger_later	s555
324.739	4.0	larger_later	discount_fixed	89	33.0	103.0	1.52	20.0	larger_later	s555
329.309	4.0	larger_later	discount_fixed	89	33.0	78.0	1.434	20.0	larger_later	s555
334.831	4.0	larger_later	discount_fixed	89	74.0	52.0	1.151	20.0	larger_later	s555
340.422	4.0	smaller_sooner	discount_fixed	71	28.0	132.0	1.827	20.0	smaller_sooner	s555
346.216	4.0	larger_later	discount_fixed	89	28.0	59.0	1.404	20.0	larger_later	s555
350.786	4.0	smaller_sooner	discount_fixed	71	28.0	163.0	1.294	20.0	smaller_sooner	s555
355.901	4.0	larger_later	discount_fixed	89	32.0	74.0	1.077	20.0	larger_later	s555
360.404	4.0	larger_later	discount_fixed	89	57.0	89.0	1.032	20.0	larger_later	s555
365.246	4.0	larger_later	discount_fixed	89	70.0	108.0	0.649	20.0	larger_later	s555
369.817	4.0	larger_later	discount_fixed	89	72.0	95.0	0.987	20.0	larger_later	s555
375.203	4.0	larger_later	discount_fixed	89	30.0	36.0	1.416	20.0	larger_later	s555
380.25	4.0	larger_later	discount_fixed	89	41.0	129.0	1.109	20.0	larger_later	s555
384.956	4.0	larger_later	discount_fixed	89	78.0	129.0	1.56	20.0	larger_later	s555
389.867	4.0	larger_later	discount_fixed	89	71.0	88.0	1.439	20.0	larger_later	s555
394.777	4.0	larger_later	discount_fixed	89	65.0	159.0	1.447	20.0	larger_later	s555
399.619	4.0	smaller_sooner	discount_fixed	71	24.0	125.0	1.608	20.0	smaller_sooner	s555
404.732	4.0	larger_later	discount_fixed	89	58.0	36.0	1.169	20.0	larger_later	s555
409.846	4.0	larger_later	discount_fixed	89	63.0	37.0	1.271	20.0	larger_later	s555
414.553	4.0	larger_later	discount_fixed	89	75.0	41.0	1.126	20.0	larger_later	s555
419.395	4.0	larger_later	discount_fixed	89	45.0	72.0	1.629	20.0	larger_later	s555
424.237	4.0	smaller_sooner	discount_fixed	71	25.0	74.0	2.101	20.0	smaller_sooner	s555
431.12	4.0	larger_later	discount_fixed	89	65.0	137.0	0.944	20.0	larger_later	s555
435.69	4.0	larger_later	discount_fixed	89	49.0	140.0	0.958	20.0	larger_later	s555
440.463	4.0	larger_later	discount_fixed	89	67.0	103.0	0.93	20.0	larger_later	s555
447.482	4.0	larger_later	discount_fixed	89	69.0	172.0	1.328	20.0	larger_later	s555
452.189	4.0	larger_later	discount_fixed	89	66.0	71.0	1.7	20.0	larger_later	s555
457.371	4.0	larger_later	discount_fixed	89	71.0	176.0	1.262	20.0	larger_later	s555
462.418	4.0	larger_later	discount_fixed	89	31.0	76.0	1.014	20.0	larger_later	s555
467.736	4.0	larger_later	discount_fixed	89	43.0	19.0	1.112	20.0	larger_later	s555
472.306	4.0	larger_later	discount_fixed	89	60.0	124.0	1.285	20.0	larger_later	s555
476.944	4.0	smaller_sooner	discount_fixed	71	27.0	142.0	1.93	20.0	smaller_sooner	s555
481.853	4.0	smaller_sooner	discount_fixed	71	25.0	70.0	2.144	20.0	smaller_sooner	s555
486.356	4.0	larger_later	discount_fixed	89	44.0	92.0	1.317	20.0	larger_later	s555
491.333	4.0	larger_later	discount_fixed	89	41.0	27.0	1.439	20.0	larger_later	s555
496.243	4.0	larger_later	discount_fixed	89	64.0	89.0	1.425	20.0	larger_later	s555
500.813	4.0	larger_later	discount_fixed	89	78.0	108.0	1.09	20.0	larger_later	s555
505.316	4.0	larger_later	discount_fixed	89	80.0	145.0	1.468	20.0	larger_later	s555
511.518	4.0	larger_later	discount_fixed	89	41.0	174.0	1.761	20.0	larger_later	s555
516.224	4.0	larger_later	discount_fixed	89	42.0	145.0	1.357	20.0	larger_later	s555
521.271	4.0	larger_later	discount_fixed	89	36.0	114.0	1.279	20.0	larger_later	s555
526.316	4.0	larger_later	discount_fixed	89	58.0	55.0	1.123	20.0	larger_later	s555
531.499	4.0	larger_later	discount_fixed	89	81.0	58.0	1.195	20.0	larger_later	s555
536.477	4.0	larger_later	discount_fixed	89	32.0	111.0	1.443	20.0	larger_later	s555
541.252	4.0	smaller_sooner	discount_fixed	71	25.0	141.0	1.274	20.0	smaller_sooner	s555
546.028	4.0	larger_later	discount_fixed	89	67.0	23.0	1.064	20.0	larger_later	s555
551.21	4.0	larger_later	discount_fixed	89	77.0	161.0	1.066	20.0	larger_later	s555
556.392	4.0	larger_later	discount_fixed	89	55.0	163.0	1.642	20.0	larger_later	s555
561.642	4.0	larger_later	discount_fixed	89	40.0	159.0	1.254	20.0	larger_later	s555
566.213	4.0	larger_later	discount_fixed	89	76.0	161.0	1.426	20.0	larger_later	s555
570.715	4.0	larger_later	discount_fixed	89	48.0	128.0	1.64	20.0	larger_later	s555
575.626	4.0	larger_later	discount_fixed	89	39.0	95.0	0.957	20.0	larger_later	s555
580.196	4.0	larger_later	discount_fixed	89	83.0	105.0	0.971	20.0	larger_later	s555
586.398	4.0	larger_later	discount_fixed	89	67.0	41.0	1.23	20.0	larger_later	s555
591.308	4.0	larger_later	discount_fixed	89	56.0	172.0	1.215	20.0	larger_later	s555
596.559	4.0	smaller_sooner	discount_fixed	71	28.0	123.0	1.575	20.0	smaller_sooner	s555
601.605	4.0	larger_later	discount_fixed	89	50.0	129.0	1.455	20.0	larger_later	s555
606.243	4.0	larger_later	discount_fixed	89	23.0	61.0	2.221	20.0	larger_later	s555
