onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
4.418	1.0	0.9	True	71.0	High-Low	stay	twobytwo	71.0	0.967	blue	3.0	cue_stay	magnitude	stay	s587	1
7.746	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	1.403	blue	3.0	task_switch	color	switch	s587	0
11.067	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.778	orange	8.0	task_switch	magnitude	switch	s587	0
14.792	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.648	orange	3.0	task_switch	color	switch	s587	0
18.105	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	0.798	blue	7.0	task_switch	magnitude	switch	s587	0
21.144	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.704	orange	8.0	cue_stay	magnitude	stay	s587	0
23.389	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	1.054	orange	1.0	cue_switch	magnitude	stay	s587	0
26.3	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.865	orange	1.0	cue_switch	magnitude	stay	s587	0
28.406	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.125	orange	3.0	task_switch	color	switch	s587	0
31.589	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.882	orange	3.0	task_switch	magnitude	switch	s587	0
34.905	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.712	orange	2.0	task_switch	color	switch	s587	0
37.011	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.301	orange	4.0	cue_switch	color	stay	s587	0
39.254	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.062	blue	1.0	task_switch	magnitude	switch	s587	0
42.158	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.961	blue	8.0	task_switch	color	switch	s587	0
44.673	1.0	0.1	True	89.0	Color	switch	twobytwo	89.0	1.106	orange	8.0	cue_switch	color	stay	s587	0
47.852	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	1.06	blue	8.0	task_switch	magnitude	switch	s587	0
49.958	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	1.814	orange	7.0	cue_switch	magnitude	stay	s587	0
53.138	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	1.444	orange	3.0	task_switch	color	switch	s587	0
55.244	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.946	orange	1.0	task_switch	magnitude	switch	s587	0
57.357	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.91	orange	4.0	cue_stay	magnitude	stay	s587	0
60.532	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.588	orange	9.0	task_switch	color	switch	s587	0
63.575	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.788	orange	4.0	task_switch	magnitude	switch	s587	0
65.681	1.0	0.1	False	89.0	High-Low	stay	twobytwo	71.0	1.261	blue	8.0	cue_stay	magnitude	stay	s587	0
67.789	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.559	orange	1.0	task_switch	color	switch	s587	0
70.692	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.871	orange	8.0	cue_switch	color	stay	s587	0
73.602	1.0	0.9	True	89.0	Color	stay	twobytwo	89.0	0.674	orange	7.0	cue_stay	color	stay	s587	0
75.706	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	0.942	orange	2.0	task_switch	magnitude	switch	s587	0
77.949	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.843	orange	1.0	cue_stay	magnitude	stay	s587	0
80.861	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.904	blue	1.0	task_switch	color	switch	s587	0
82.965	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	1.125	orange	9.0	cue_switch	color	stay	s587	0
86.005	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.677	blue	9.0	cue_switch	color	stay	s587	0
88.112	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.07	orange	3.0	task_switch	magnitude	switch	s587	0
91.151	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.81	blue	1.0	task_switch	color	switch	s587	0
93.938	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.743	orange	6.0	cue_stay	color	stay	s587	0
96.315	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	1.024	blue	1.0	cue_stay	color	stay	s587	0
99.358	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	1.106	blue	9.0	task_switch	magnitude	switch	s587	0
102.262	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.57	orange	1.0	task_switch	color	switch	s587	0
105.304	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.69	blue	9.0	task_switch	magnitude	switch	s587	0
108.093	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.946	blue	2.0	task_switch	color	switch	s587	0
110.471	1.0	0.1	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.852	orange	3.0	cue_switch	color	stay	s587	0
113.377	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.768	orange	3.0	task_switch	magnitude	switch	s587	0
115.482	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.867	blue	6.0	cue_stay	magnitude	stay	s587	0
117.726	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.823	orange	1.0	cue_stay	magnitude	stay	s587	0
120.629	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.607	blue	8.0	cue_stay	magnitude	stay	s587	0
122.74	1.0	0.1	True	71.0	High-Low	switch	twobytwo	71.0	0.865	blue	2.0	cue_switch	magnitude	stay	s587	0
124.845	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.131	blue	9.0	task_switch	color	switch	s587	0
