onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
4.428	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.548	blue	4.0	task_switch	color	switch	s579	1
6.673	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.688	blue	8.0	cue_stay	color	stay	s579	0
9.465	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.708	orange	2.0	cue_switch	color	stay	s579	0
12.916	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.442	blue	3.0	cue_switch	color	stay	s579	0
15.3	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.681	orange	3.0	cue_switch	color	stay	s579	0
17.681	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.044	blue	3.0	task_switch	magnitude	switch	s579	0
20.994	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.391	blue	7.0	cue_stay	magnitude	stay	s579	0
23.237	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.766	orange	1.0	task_switch	color	switch	s579	0
26.414	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.502	blue	9.0	cue_switch	color	stay	s579	0
28.525	1.0	0.1	False	89.0	Color	switch	twobytwo	71.0	1.009	blue	4.0	cue_switch	color	stay	s579	0
30.768	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.987	orange	7.0	cue_stay	color	stay	s579	0
33.946	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.535	orange	2.0	task_switch	magnitude	switch	s579	0
36.85	1.0	0.9	False	71.0	Orange-Blue	n/a	twobytwo	89.0	0.705	orange	7.0	task_switch	color	switch	s579	0
39.637	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.771	orange	8.0	cue_switch	color	stay	s579	0
41.744	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.102	orange	2.0	task_switch	magnitude	switch	s579	0
43.851	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.651	orange	2.0	cue_stay	magnitude	stay	s579	0
46.758	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.504	orange	1.0	task_switch	color	switch	s579	0
49.136	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.926	orange	7.0	task_switch	magnitude	switch	s579	0
52.043	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.713	orange	3.0	task_switch	color	switch	s579	0
54.95	1.0	0.9	False	71.0	High-Low	n/a	twobytwo	89.0	0.445	blue	1.0	task_switch	magnitude	switch	s579	0
57.059	1.0	0.1	False	71.0	High-Low	stay	twobytwo	89.0	0.909	orange	3.0	cue_stay	magnitude	stay	s579	0
59.846	1.0	0.1	False	71.0	High-Low	stay	twobytwo	89.0	0.567	orange	4.0	cue_stay	magnitude	stay	s579	0
61.956	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.651	orange	1.0	task_switch	color	switch	s579	0
64.196	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.964	orange	8.0	cue_switch	color	stay	s579	0
67.508	1.0	0.9	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.582	orange	9.0	cue_stay	color	stay	s579	0
69.751	1.0	0.1	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.922	orange	2.0	cue_stay	color	stay	s579	0
71.857	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.765	blue	6.0	task_switch	magnitude	switch	s579	0
74.764	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.498	orange	3.0	task_switch	color	switch	s579	0
77.412	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.647	orange	8.0	cue_stay	color	stay	s579	0
79.655	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.618	orange	6.0	cue_stay	color	stay	s579	0
82.303	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.882	orange	1.0	task_switch	magnitude	switch	s579	0
85.09	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	0.846	orange	9.0	cue_switch	magnitude	stay	s579	0
87.997	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.63	blue	7.0	task_switch	color	switch	s579	0
90.376	1.0	0.1	False	89.0	High-Low	n/a	twobytwo	71.0	0.914	orange	8.0	task_switch	magnitude	switch	s579	0
94.37	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.746	blue	8.0	task_switch	color	switch	s579	0
96.479	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.768	blue	6.0	cue_stay	color	stay	s579	0
