onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
3.619	1.0	0.1	True	71.0	Color	switch	twobytwo	71.0	0.7	blue	8.0	cue_switch	color	stay	s557	1
6.667	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.523	blue	9.0	task_switch	magnitude	switch	s557	0
9.048	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	0.865	orange	6.0	task_switch	color	switch	s557	0
11.291	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.806	blue	7.0	cue_stay	color	stay	s557	0
13.667	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.839	orange	8.0	task_switch	magnitude	switch	s557	0
15.776	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.862	blue	3.0	cue_stay	magnitude	stay	s557	0
19.496	1.0	0.9	True	71.0	High-Low	switch	twobytwo	71.0	0.495	orange	1.0	cue_switch	magnitude	stay	s557	0
22.017	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.795	blue	2.0	cue_stay	magnitude	stay	s557	0
24.126	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.685	orange	2.0	cue_stay	magnitude	stay	s557	0
27.577	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.783	blue	1.0	task_switch	color	switch	s557	0
29.819	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.167	blue	6.0	task_switch	magnitude	switch	s557	0
31.926	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.792	orange	2.0	cue_stay	magnitude	stay	s557	0
34.83	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.692	orange	7.0	cue_switch	magnitude	stay	s557	0
37.07	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.767	orange	4.0	cue_stay	magnitude	stay	s557	0
39.313	1.0	0.1	False	71.0	Color	n/a	twobytwo	89.0	0.76	blue	8.0	task_switch	color	switch	s557	0
41.689	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	1.168	blue	6.0	cue_switch	color	stay	s557	0
45.82	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.518	blue	2.0	cue_switch	color	stay	s557	0
48.727	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.571	orange	1.0	task_switch	magnitude	switch	s557	0
50.833	1.0	0.1	True	71.0	Color	n/a	twobytwo	71.0	0.985	blue	6.0	task_switch	color	switch	s557	0
54.015	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.617	orange	3.0	task_switch	magnitude	switch	s557	0
56.257	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	1.183	orange	3.0	cue_switch	magnitude	stay	s557	0
58.366	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.857	blue	6.0	cue_stay	magnitude	stay	s557	0
61.276	1.0	0.9	True	89.0	Magnitude	stay	twobytwo	89.0	0.809	orange	9.0	cue_stay	magnitude	stay	s557	0
63.386	1.0	0.1	True	89.0	Magnitude	stay	twobytwo	89.0	0.942	orange	6.0	cue_stay	magnitude	stay	s557	0
66.178	1.0	0.1	False	89.0	Color	n/a	twobytwo	71.0	0.907	orange	8.0	task_switch	color	switch	s557	0
68.284	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	1.025	blue	4.0	task_switch	magnitude	switch	s557	0
71.459	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.594	orange	6.0	task_switch	color	switch	s557	0
74.37	1.0	0.9	False	89.0	Orange-Blue	switch	twobytwo	71.0	0.774	orange	3.0	cue_switch	color	stay	s557	0
77.546	1.0	0.9	True	89.0	Color	switch	twobytwo	89.0	0.788	orange	7.0	cue_switch	color	stay	s557	0
81.405	1.0	0.9	True	89.0	Magnitude	n/a	twobytwo	89.0	0.581	orange	7.0	task_switch	magnitude	switch	s557	0
84.311	1.0	0.9	False	71.0	High-Low	switch	twobytwo	89.0	0.725	orange	2.0	cue_switch	magnitude	stay	s557	0
87.218	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	1.009	orange	9.0	task_switch	color	switch	s557	0
90.125	1.0	0.9	True	71.0	Color	stay	twobytwo	71.0	1.015	blue	1.0	cue_stay	color	stay	s557	0
93.029	1.0	0.9	True	89.0	Orange-Blue	switch	twobytwo	89.0	0.61	orange	2.0	cue_switch	color	stay	s557	0
95.27	1.0	0.1	True	71.0	Magnitude	n/a	twobytwo	71.0	1.1	blue	1.0	task_switch	magnitude	switch	s557	0
98.178	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.933	blue	4.0	task_switch	color	switch	s557	0
101.086	1.0	0.9	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.502	blue	3.0	cue_switch	color	stay	s557	0
103.197	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.067	orange	6.0	task_switch	magnitude	switch	s557	0
106.379	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.431	orange	6.0	task_switch	color	switch	s557	0
108.621	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.883	orange	9.0	task_switch	magnitude	switch	s557	0
111.525	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.829	blue	2.0	task_switch	color	switch	s557	0
114.568	1.0	0.9	True	71.0	High-Low	n/a	twobytwo	71.0	0.688	blue	2.0	task_switch	magnitude	switch	s557	0
118.288	1.0	0.9	True	71.0	Magnitude	switch	twobytwo	71.0	0.631	blue	2.0	cue_switch	magnitude	stay	s557	0
121.603	1.0	0.9	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.651	orange	4.0	task_switch	color	switch	s557	0
124.507	1.0	0.9	True	89.0	High-Low	n/a	twobytwo	89.0	1.188	orange	6.0	task_switch	magnitude	switch	s557	0
126.747	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.919	orange	3.0	cue_stay	magnitude	stay	s557	0
129.787	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.69	orange	9.0	cue_switch	magnitude	stay	s557	0
132.03	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.845	blue	2.0	task_switch	color	switch	s557	0
135.481	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	1.177	blue	2.0	task_switch	magnitude	switch	s557	0
138.523	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.668	orange	3.0	task_switch	color	switch	s557	0
141.433	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.634	blue	1.0	task_switch	magnitude	switch	s557	0
144.34	1.0	0.9	True	71.0	Magnitude	stay	twobytwo	71.0	0.97	orange	2.0	cue_stay	magnitude	stay	s557	0
147.246	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.549	blue	2.0	task_switch	color	switch	s557	0
149.351	1.0	0.1	True	71.0	High-Low	n/a	twobytwo	71.0	0.842	orange	2.0	task_switch	magnitude	switch	s557	0
151.593	1.0	0.1	True	71.0	Magnitude	switch	twobytwo	71.0	0.868	blue	4.0	cue_switch	magnitude	stay	s557	0
154.5	1.0	0.9	True	89.0	High-Low	switch	twobytwo	89.0	0.575	orange	8.0	cue_switch	magnitude	stay	s557	0
156.607	1.0	0.1	True	71.0	High-Low	stay	twobytwo	71.0	0.803	blue	2.0	cue_stay	magnitude	stay	s557	0
158.716	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	1.152	orange	1.0	task_switch	color	switch	s557	0
160.956	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.178	blue	9.0	task_switch	magnitude	switch	s557	0
163.996	1.0	0.9	True	89.0	High-Low	stay	twobytwo	89.0	0.52	blue	9.0	cue_stay	magnitude	stay	s557	0
166.236	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.205	blue	6.0	task_switch	color	switch	s557	0
