onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-51.174	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	17.587	n/a	instructions	s557
3.014	4.48	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	4.48	1,0,0,2,3,0,0,0,0	to_hand	s557
7.496	0.52	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	0.52	1,0,0,2,3,0,0,0,0	to_board	s557
8.018	1.681	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	1.681	1,0,0,2,3,0,0,0,0	to_hand	s557
9.7	0.446	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.446	1,0,0,2,3,0,0,0,0	to_board	s557
10.146	1.731	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	1.731	1,0,0,2,3,0,0,0,0	to_hand	s557
11.878	0.588	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.588	1,0,0,2,3,0,0,0,0	to_board	s557
12.47	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s557
14.973	6.468	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	6.468	1,2,0,3,0,0,0,0,0	to_hand	s557
21.442	0.523	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.523	1,2,0,3,0,0,0,0,0	to_board	s557
21.966	0.556	0	UA_with_intermediate	1,0,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	71.0	1.0	0.556	1,2,0,3,0,0,0,0,0	to_hand	s557
22.523	0.532	0	UA_with_intermediate	1,3,0,0,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.532	1,2,0,3,0,0,0,0,0	to_board	s557
23.057	0.542	0	UA_with_intermediate	1,3,0,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	0.542	1,2,0,3,0,0,0,0,0	to_hand	s557
23.601	0.459	0	UA_with_intermediate	1,3,2,0,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	0.459	1,2,0,3,0,0,0,0,0	to_board	s557
24.064	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	feedback	s557
25.064	1.1	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	ITI	s557
26.165	5.384	1	UA_without_intermediate	0,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	82.0	2.0	5.384	0,0,0,1,2,0,3,0,0	to_hand	s557
31.551	0.476	0	UA_without_intermediate	3,0,0,1,2,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.476	0,0,0,1,2,0,3,0,0	to_board	s557
32.028	0.701	0	UA_without_intermediate	3,0,0,1,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	0.701	0,0,0,1,2,0,3,0,0	to_hand	s557
32.73	0.435	0	UA_without_intermediate	3,2,0,1,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.435	0,0,0,1,2,0,3,0,0	to_board	s557
33.168	0.647	0	UA_without_intermediate	3,2,0,0,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	71.0	2.0	0.647	0,0,0,1,2,0,3,0,0	to_hand	s557
33.816	0.413	0	UA_without_intermediate	3,2,1,0,0,0,0,0,0	practice	ward_and_allport	3,2,1,0,0,0,0,0,0	89.0	2.0	0.413	0,0,0,1,2,0,3,0,0	to_board	s557
34.232	1.0	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	feedback	s557
35.232	1.2	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	ITI	s557
36.434	4.877	1	UA_without_intermediate	0,0,0,1,0,0,3,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	71.0	3.0	4.877	0,0,0,1,2,0,3,0,0	to_hand	s557
41.311	0.451	0	UA_without_intermediate	2,0,0,1,0,0,3,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	89.0	3.0	0.451	0,0,0,1,2,0,3,0,0	to_board	s557
41.765	0.975	0	UA_without_intermediate	2,0,0,1,0,0,0,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	82.0	3.0	0.975	0,0,0,1,2,0,3,0,0	to_hand	s557
42.741	0.499	0	UA_without_intermediate	2,3,0,1,0,0,0,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	89.0	3.0	0.499	0,0,0,1,2,0,3,0,0	to_board	s557
43.241	0.483	0	UA_without_intermediate	2,3,0,0,0,0,0,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	71.0	3.0	0.483	0,0,0,1,2,0,3,0,0	to_hand	s557
43.725	0.461	0	UA_without_intermediate	2,3,1,0,0,0,0,0,0	practice	ward_and_allport	2,3,1,0,0,0,0,0,0	89.0	3.0	0.461	0,0,0,1,2,0,3,0,0	to_board	s557
44.192	1.0	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	3.0	n/a	n/a	feedback	s557
45.192	1.0	0	UA_without_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	3.0	n/a	n/a	ITI	s557
48.198	7.783	1	PA_with_intermediate	1,2,0,0,0,0,0,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	89.0	0.0	7.783	1,2,3,0,0,0,0,0,0	to_hand	s557
55.982	0.471	0	PA_with_intermediate	1,2,0,0,0,0,3,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	82.0	0.0	0.471	1,2,3,0,0,0,0,0,0	to_board	s557
56.455	1.575	0	PA_with_intermediate	1,0,0,0,0,0,3,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	89.0	0.0	1.575	1,2,3,0,0,0,0,0,0	to_hand	s557
58.031	1.07	0	PA_with_intermediate	1,0,0,2,0,0,3,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	71.0	0.0	1.07	1,2,3,0,0,0,0,0,0	to_board	s557
59.102	2.081	0	PA_with_intermediate	1,0,0,2,0,0,0,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	82.0	0.0	2.081	1,2,3,0,0,0,0,0,0	to_hand	s557
61.185	0.403	0	PA_with_intermediate	1,3,0,2,0,0,0,0,0	test	ward_and_allport	1,3,0,2,0,0,0,0,0	89.0	0.0	0.403	1,2,3,0,0,0,0,0,0	to_board	s557
61.593	1.0	0	PA_with_intermediate	n/a	test	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s557
62.593	2.768	0	PA_with_intermediate	n/a	test	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	ITI	s557
65.363	4.371	1	PA_with_intermediate	1,2,0,0,0,0,0,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	89.0	1.0	4.371	1,2,3,0,0,0,0,0,0	to_hand	s557
69.734	0.651	0	PA_with_intermediate	1,2,0,3,0,0,0,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	71.0	1.0	0.651	1,2,3,0,0,0,0,0,0	to_board	s557
70.388	0.674	0	PA_with_intermediate	1,0,0,3,0,0,0,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	89.0	1.0	0.674	1,2,3,0,0,0,0,0,0	to_hand	s557
71.063	0.49	0	PA_with_intermediate	1,0,0,3,0,0,2,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	82.0	1.0	0.49	1,2,3,0,0,0,0,0,0	to_board	s557
71.554	0.633	0	PA_with_intermediate	1,0,0,0,0,0,2,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	71.0	1.0	0.633	1,2,3,0,0,0,0,0,0	to_hand	s557
72.189	0.439	0	PA_with_intermediate	1,3,0,0,0,0,2,0,0	test	ward_and_allport	1,3,0,0,0,0,2,0,0	89.0	1.0	0.439	1,2,3,0,0,0,0,0,0	to_board	s557
72.633	1.0	0	PA_with_intermediate	n/a	test	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	feedback	s557
73.633	1.68	0	PA_with_intermediate	n/a	test	ward_and_allport	n/a	-1.0	1.0	n/a	n/a	ITI	s557
75.314	4.785	1	PA_without_intermediate	0,0,0,0,0,0,1,2,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	82.0	2.0	4.785	0,0,0,0,0,0,1,2,3	to_hand	s557
80.101	0.486	0	PA_without_intermediate	0,0,0,3,0,0,1,2,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	71.0	2.0	0.486	0,0,0,0,0,0,1,2,3	to_board	s557
80.589	0.723	0	PA_without_intermediate	0,0,0,3,0,0,1,0,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	82.0	2.0	0.723	0,0,0,0,0,0,1,2,3	to_hand	s557
81.314	0.604	0	PA_without_intermediate	0,0,0,3,2,0,1,0,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	71.0	2.0	0.604	0,0,0,0,0,0,1,2,3	to_board	s557
81.92	1.204	0	PA_without_intermediate	0,0,0,3,2,0,0,0,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	82.0	2.0	1.204	0,0,0,0,0,0,1,2,3	to_hand	s557
83.125	0.437	0	PA_without_intermediate	1,0,0,3,2,0,0,0,0	test	ward_and_allport	1,0,0,3,2,0,0,0,0	89.0	2.0	0.437	0,0,0,0,0,0,1,2,3	to_board	s557
83.567	1.0	0	PA_without_intermediate	n/a	test	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	feedback	s557
84.567	2.224	0	PA_without_intermediate	n/a	test	ward_and_allport	n/a	-1.0	2.0	n/a	n/a	ITI	s557
86.793	2.081	1	PA_without_intermediate	0,0,0,1,2,0,0,0,0	test	ward_and_allport	3,2,0,0,0,0,1,0,0	71.0	3.0	2.081	0,0,0,1,2,3,0,0,0	to_hand	s557
88.875	0.488	0	PA_without_intermediate	3,0,0,1,2,0,0,0,0	test	ward_and_allport	3,2,0,0,0,0,1,0,0	89.0	3.0	0.488	0,0,0,1,2,3,0,0,0	to_board	s557
