onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.021	0.85	0.4	89.0	stop_signal	71.0	0.817	False	go	s640
5.551	0.85	0.4	89.0	stop_signal	89.0	0.602	False	go	s640
7.803	0.85	0.4	89.0	stop_signal	89.0	0.537	False	stop_failure	s640
10.055	0.85	0.35	89.0	stop_signal	89.0	0.513	False	go	s640
12.307	0.85	0.35	71.0	stop_signal	71.0	0.548	False	go	s640
14.562	0.85	0.35	89.0	stop_signal	89.0	0.583	False	go	s640
16.95	0.85	0.35	89.0	stop_signal	89.0	0.568	False	go	s640
19.202	0.85	0.35	89.0	stop_signal	89.0	0.498	False	stop_failure	s640
21.454	0.85	0.3	89.0	stop_signal	89.0	0.543	False	go	s640
23.711	0.85	0.3	71.0	stop_signal	-1.0	n/a	True	stop_success	s640
25.965	0.85	0.35	89.0	stop_signal	-1.0	n/a	True	stop_success	s640
28.492	0.85	0.4	71.0	stop_signal	71.0	0.506	False	go	s640
30.884	0.85	0.4	71.0	stop_signal	71.0	0.629	False	go	s640
33.411	0.85	0.4	71.0	stop_signal	-1.0	n/a	True	stop_success	s640
35.667	0.85	0.45	89.0	stop_signal	89.0	0.603	False	go	s640
38.058	0.85	0.45	71.0	stop_signal	71.0	0.708	False	go	s640
40.446	0.85	0.45	89.0	stop_signal	89.0	0.561	False	go	s640
42.701	0.85	0.45	71.0	stop_signal	71.0	0.635	False	go	s640
45.093	0.85	0.45	89.0	stop_signal	89.0	0.638	False	go	s640
47.484	0.85	0.45	89.0	stop_signal	89.0	0.633	False	stop_failure	s640
49.876	0.85	0.4	71.0	stop_signal	71.0	0.638	False	go	s640
52.537	0.85	0.4	89.0	stop_signal	89.0	0.64	False	go	s640
55.062	0.85	0.4	89.0	stop_signal	-1.0	n/a	True	stop_success	s640
57.318	0.85	0.45	71.0	stop_signal	71.0	0.614	False	stop_failure	s640
60.25	0.85	0.4	71.0	stop_signal	71.0	0.785	False	go	s640
62.503	0.85	0.4	71.0	stop_signal	71.0	0.599	False	go	s640
65.032	0.85	0.4	89.0	stop_signal	89.0	0.583	False	stop_failure	s640
67.288	0.85	0.35	89.0	stop_signal	-1.0	n/a	True	go	s640
69.543	0.85	0.35	89.0	stop_signal	89.0	0.456	False	go	s640
71.795	0.85	0.35	71.0	stop_signal	71.0	0.702	False	go	s640
74.05	0.85	0.35	89.0	stop_signal	89.0	0.731	False	go	s640
76.574	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s640
79.643	0.85	0.4	89.0	stop_signal	89.0	0.578	False	stop_failure	s640
81.898	0.85	0.35	89.0	stop_signal	89.0	0.737	False	go	s640
84.289	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s640
86.678	0.85	0.4	89.0	stop_signal	89.0	0.57	False	go	s640
89.205	0.85	0.4	71.0	stop_signal	71.0	0.67	False	go	s640
91.597	0.85	0.4	89.0	stop_signal	89.0	0.783	False	go	s640
93.986	0.85	0.4	89.0	stop_signal	89.0	0.556	False	stop_failure	s640
96.786	0.85	0.35	89.0	stop_signal	89.0	0.693	False	go	s640
99.173	0.85	0.35	71.0	stop_signal	-1.0	n/a	True	stop_success	s640
111.944	0.85	0.4	89.0	stop_signal	89.0	0.409	False	stop_failure	s640
114.471	0.85	0.35	89.0	stop_signal	89.0	0.405	False	stop_failure	s640
116.863	0.85	0.3	89.0	stop_signal	89.0	0.454	False	go	s640
119.251	0.85	0.3	71.0	stop_signal	71.0	0.396	False	stop_failure	s640
121.506	0.85	0.25	89.0	stop_signal	89.0	0.615	False	go	s640
